Artist_and_Track_Name,Germany_Streams,Position
Andreas Gabalier - Hulapalu,2144085,496
Pitbull - Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version,2141827,497
Kendrick Lamar - LOYALTY. FEAT. RIHANNA.,2132171,498
Kollegah - Warlordz,2118206,499
Trettmann - GottSeiDank,2111230,500
KALIM - 38,2111083,501
"Wale - My Love (feat. Major Lazer, WizKid, Dua Lipa)",2090114,502
ZAYN - Still Got Time,2086586,503
Migos - MotorSport,2082067,504
Rudimental - Sun Comes Up,2077834,505
Metrickz - WEIHRAUCH,2066107,506
Nimo - Michelangelo,2064839,507
Luciano - Gauner in Lacoste,2051619,508
Ed Sheeran - I See Fire,2039956,509
187 Strassenbande - Intro,2031251,510
Lena - Lost In You,2028983,511
Kollegah - In jeder deutschen Großstadt,2028897,512
Hitimpulse - I'm in Love with the Coco,2021897,513
Ed Sheeran - Bibia Be Ye Ye,2020156,514
Jane XØ - Love Me,2014429,515
Beginner - Meine Posse,2013277,516
Dante Klein - Let Me Hold You (Turn Me On),2004992,517
Drake - Blem,2000259,518
Cro - tru,1985875,519
JAY Z - Numb / Encore,1979976,520
Sia - Move Your Body - Alan Walker Remix,1940420,521
Katy Perry - Bon Appétit,1889281,522
Ed Sheeran - Thinking Out Loud,1872202,523
Zara Larsson - Ain't My Fault,1865446,524
187 Strassenbande - 10 Dinger,1854790,525
Kollegah - Älter brutaler skrupelloser (Outro),1842307,526
Sa4 - Rush Hour,1837346,527
Sam Smith - Have Yourself A Merry Little Christmas,1822451,528
The Weeknd - Party Monster,1800211,529
Casper - Keine Angst,1786152,530
"G-Eazy - Me, Myself & I",1771611,531
Ed Sheeran - Save Myself,1754674,532
Travis Scott - goosebumps,1749704,533
Isaiah - It's Gotta Be You,1742091,534
Kollegah - Einer von Millionen (feat. Motrip),1735127,535
Hanybal - Vanilla Sky,1727963,536
PA Sports - Mörder,1709224,537
Stereoact - Nummer Eins,1703046,538
RAF Camora - Anthrazit,1696608,539
Miley Cyrus - Rockin' Around The Christmas Tree - Recorded at Spotify Studios NYC,1683710,540
Capital Bra - Ala'ba'ba,1676910,541
187 Strassenbande - International,1645307,542
"gnash - i hate u, i love u (feat. olivia o'brien)",1633702,543
Gwen Stefani - You Make It Feel Like Christmas (feat. Blake Shelton),1629554,544
Justin Bieber - Love Yourself,1628954,545
Kesha - Praying,1609367,546
Laruzo - 247,1606970,547
Linkin Park - What I've Done,1606537,548
Joshi Mizu - Chardonnay,1605850,549
RIN - Nightlife,1591176,550
Eno - Massari,1589534,551
Macklemore - Marmalade (feat. Lil Yachty),1577123,552
Eminem - Believe,1572986,553
Kollegah - Legacy,1563937,554
Justin Bieber - Sorry,1560524,555
KC Rebell - Maximum,1551728,556
Noah Cyrus - Make Me (Cry),1528589,557
Drake - Get It Together,1526732,558
A$AP Ferg - Plain Jane,1521309,559
Marteria - Scotty beam mich hoch,1514874,560
Kendrick Lamar - LOVE. FEAT. ZACARI.,1510524,561
Eagles - Please Come Home For Christmas - Bonus Track,1507529,562
Sia - Santa's Coming For Us,1481594,563
LEA - Leiser,1479899,564
Bushido - Oma Lise,1471450,565
Majoe - Sidechick,1468889,566
Capital Bra - Das Leben ist so,1463641,567
Luciano - Die Straße ein Teil,1452412,568
Kendrick Lamar - ELEMENT.,1451649,569
Lorenz Büffel - Johnny Däpp,1447322,570
Whethan - Savage (feat. Flux Pavilion & MAX),1447061,571
OneRepublic - Let's Hurt Tonight,1446355,572
Sunstroke Project - Hey Mamma - Radio Edit,1443705,573
Frankie Goes To Hollywood - The Power of Love,1438701,574
Jonas Blue - Perfect Strangers,1438066,575
187 Strassenbande - Mit Absicht,1434777,576
Michael Patrick Kelly - iD,1419245,577
Drake - Too Good,1409402,578
Thirty Seconds To Mars - Walk On Water,1403344,579
Macklemore & Ryan Lewis - Can't Hold Us - feat. Ray Dalton,1402399,580
Kontra K - Erfolg ist kein Glück,1368482,581
San Holo - Light,1363788,582
Capital Bra - Wer hoch fliegt fällt tief,1363739,583
Lena - If I Wasn't Your Daughter - Acoustic Version,1361674,584
Ali As - Von den fernen Bergen (feat. SXTN),1361427,585
Kanye West - Stronger,1358319,586
"Sia - Helium - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",1357368,587
Capital Bra - Paff Paff weiter 2,1344217,588
Trettmann - Billie Holiday,1343578,589
Kraftklub - Dein Lied,1338739,590
Yvonne Catterfeld - Irgendwas (feat. Bengio),1324703,591
Bushido - CCNDNA,1322928,592
Natasha Bedingfield - Shake up Christmas 2011 (Official Coca-Cola Christmas Song),1311662,593
Wincent Weiss - Musik sein,1288657,594
Linkin Park - One More Light,1280090,595
Stargate - Waterfall,1273316,596
Kollegah - One Night Stand,1267445,597
Kylie Minogue - Santa Baby,1265309,598
Mike Perry - Inside the Lines,1262721,599
Hanybal - Fick dich,1259574,600
Avicii - What Would I Change It To (feat. AlunaGeorge),1250507,601
Jonas Blue - Fast Car,1248301,602
Bonez MC - Lebenslauf,1243410,603
Rod Stewart - Santa Claus Is Coming To Town,1228521,604
Zay Hilfigerrr - Juju On That Beat (TZ Anthem),1228355,605
Cro - todas,1227783,606
Galantis - No Money,1224777,607
RAF Camora - Entertainment,1220782,608
Bausa - FML,1214860,609
Julia Michaels - Uh Huh,1213601,610
Celo & Abdi - Kein Rückwärtsgang,1212745,611
Savas - Normale Leute,1207001,612
Elton John - Step Into Christmas,1205697,613
Cash Cash - All My Love (feat. Conor Maynard),1205048,614
21 Savage - Ghostface Killers,1201725,615
Hurts - All I Want for Christmas Is New Year's Day,1198846,616
Dynoro - In My Mind,1196341,617
Linkin Park - Good Goodbye (feat. Pusha T and Stormzy),1195192,618
Tom Walker - Leave a Light On,1192026,619
CNCO - Reggaetón Lento (Remix),1182141,620
DVBBS - Not Going Home,1181138,621
DRAM - Broccoli (feat. Lil Yachty),1180530,622
Maxwell - Diese Beiden,1176754,623
Lauv - The Other,1174324,624
Maxwell - Gaspedal,1171940,625
Majoe - Silberner Ferrari (feat. Farid Bang),1163519,626
Jona Lewie - Stop the Cavalry,1149731,627
Avicii - You Be Love (feat. Billy Raffoul),1147749,628
Migos - T-Shirt,1143086,629
Backstreet Boys - Christmas Time,1139922,630
Cliff Richard - Mistletoe and Wine,1136264,631
Rolf Zuckowski - In der Weihnachtsbäckerei,1130846,632
RAF Camora - Augenblick,1121546,633
"Sam Smith - River - Recorded At RAK Studios, London",1121093,634
Ufo361 - James Dean,1114257,635
Vice - Obsession (feat. Jon Bellion),1112444,636
Zuna - Mele 7,1109771,637
Andy Williams - It's the Most Wonderful Time of the Year,1104976,638
"Felix Jaehn - Like A Riddle (feat. Hearts & Colors, Adam Trigger)",1101459,639
KALIM - Tresi,1090478,640
Kontra K - Gute Nacht,1090224,641
Eric Saade - Wide Awake - Red Mix,1084892,642
Luciano - Eiskalt,1083857,643
Bruce Springsteen - Santa Claus Is Comin' to Town - Single Version,1079033,644
Mert - Asozial,1075091,645
Slade - Merry Xmas Everybody,1073287,646
PA Sports - HSHC,1071466,647
Aminé - Caroline,1070352,648
Gucci Mane - I Get The Bag (feat. Migos),1064865,649
RAF Camora - Vienna,1060691,650
Bonez MC - Attackieren,1059095,651
Kollegah - Farid Ben & Friend (JBG3 Disstrack),1058035,652
Luciano - Jeden Tag,1055628,653
Eminem - Remind Me,1055627,654
"Young Thug - Gang Up (with Young Thug, 2 Chainz & Wiz Khalifa feat. PnB Rock)",1051092,655
Dardan - Mister Dardy,1043022,656
Nimo - Let's Go Amina,1042894,657
Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez),1042411,658
RIN - Bass,1039164,659
Jennifer Lopez - Ain't Your Mama,1031633,660
RAF Camora - Verkauft,1026838,661
Bushido - Geschlossene Gesellschaft,1017014,662
Lukas Graham - 7 Years,1009620,663
Bonez MC - Ruhe nach dem Sturm,1004895,664
Capital Bra - Wie alles begann,1004564,665
Ufo361 - Migos,992803,666
David Guetta - Light My Body Up (feat. Nicki Minaj & Lil Wayne),991085,667
Gzuz - Meine Sprache,985950,668
Sam Smith - Pray,972997,669
"Nick Jonas - Bom Bidi Bom - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",965199,670
Coldplay - Hymn For The Weekend - Seeb Remix,964664,671
Ufo361 - Luzifer,963228,672
Tiësto - Carry You Home,958902,673
Prinz Pi - Hellrot,948488,674
SpongeBOZZ - Yellow Bar Mitzvah,938476,675
Eartha Kitt - Santa Baby,938186,676
Liam Payne - Bedroom Floor,933893,677
Naaz - Words,932012,678
Axwell /\ Ingrosso - Dreamer,927984,679
Tom Petty and the Heartbreakers - Christmas All Over Again,927153,680
Drake - Gyalchester,922746,681
Drake - Free Smoke,915833,682
Bushido - So Lange,911051,683
Yung Hurn - Ok Cool,910015,684
Martin Solveig - Do It Right,907241,685
Bushido - Switch Stance,907039,686
John Legend - Under the Stars,905910,687
Capital Bra - Kuku187,904503,688
RAF Camora - Turbo,898375,689
Taylor Swift - Gorgeous,891976,690
KC Rebell - Du musst mir geben,887389,691
Yung Hurn - Bianco - Prod. Lex Lugner,886363,692
Eminem - Like Home (feat. Alicia Keys),870584,693
Bushido - Fallout,868931,694
Calvin Harris - This Is What You Came For,866409,695
Alan Walker - Sing Me to Sleep,856074,696
Yung Hurn - GGGut,851911,697
Linkin Park - Battle Symphony,849009,698
Camila Cabello - Never Be the Same,844728,699
Frank Sinatra - Santa Claus Is Comin' to Town,838676,700
Casper - Alles ist erleuchtet,837051,701
Drake - Madiba Riddim,834461,702
Machine Gun Kelly - At My Best (feat. Hailee Steinfeld),829621,703
Capital Bra - BMW Alpina,826391,704
Azad - Conor McGregor,825046,705
Leona Lewis - Winter Wonderland,823088,706
RAF Camora - Money,814405,707
Sultan + Shepard  - Almost Home,812744,708
Cashmere Cat - Quit (feat. Ariana Grande),811321,709
"Dean Martin - Rudolph, the Red-Nosed Reindeer",808122,710
Lana Del Rey - Love,807906,711
Bobby Helms - Jingle Bell Rock,805010,712
Shawn Mendes - Stitches,804034,713
"George Ezra - White Christmas - Spotify Singles - Holiday, Recorded at Air Studios, London",797845,714
Gzuz - CL500,795779,715
Michael Bublé - The More You Give (The More You'll Have),788491,716
Kelly Clarkson - Christmas Eve - Recorded at Spotify Studios NYC,785802,717
Nimo - Hoodi,784934,718
MØ - Nights With You,781399,719
Ellie Goulding - O Holy Night,777790,720
RAF Camora - Donna Imma,777481,721
Wizzard - I Wish It Could Be Christmas Everyday,769257,722
Linkin Park - Talking to Myself,768375,723
Kate Winslet - What If,765361,724
Post Malone - Go Flex,761246,725
Fler - Hype,759651,726
Kendrick Lamar - FEEL.,758503,727
Zuna - Guck Mama,756739,728
Kygo - Kids in Love,755898,729
RAF Camora - Niemals,755513,730
Kollegah - Nero,744771,731
Bakermat - Baby,742956,732
Bilderbuch - Bungalow,742905,733
Miami Yacine - Weil ich muss,741393,734
Little Mix - Shout Out to My Ex,740478,735
Kendrick Lamar - YAH.,739840,736
Lost Frequencies - Crazy,734644,737
Two Feet - Go Fuck Yourself,734192,738
Capital Bra - Bra macht die AK,727635,739
Bushido - Ground Zero,725838,740
RIN - Gamma,724921,741
Eminem - Bad Husband (feat. X Ambassadors),723583,742
RAF Camora - Teflon,722067,743
Azzi Memo - AMG,712433,744
KC Rebell - Kafa Bir Milyon,710552,745
A R I Z O N A - Oceans Away - Sam Feldt Remix,704681,746
SpongeBOZZ - A.C.A.B. II,701958,747
Die drei ??? - 182 - Im Haus des Henkers - Teil 01,701178,748
Kraftklub - Chemie Chemie Ya,700622,749
Capital Bra - Mademoiselle,699875,750
KC Rebell - Salut,699660,751
Gryffin - Feel Good (feat. Daya),697545,752
"Stefanie Kloß - Dezember (aus "" Sing meinen Song - Das Weihnachtskonzert, Vol. 4 "" )",695232,753
Trailerpark - Armut treibt Jugendliche in die Popmusik,694555,754
Drake - Teenage Fever,691460,755
Lana Del Rey - Lust for Life (with The Weeknd),687996,756
Jasmine Thompson - Old Friends - Jonas Blue Remix,687512,757
Backstreet Boys - It's Christmas Time Again,685275,758
Hanson - What Christmas Means To Me,683192,759
Nimo - Hype,676469,760
Kendrick Lamar - XXX. FEAT. U2.,675075,761
Kollegah - 24 Karat (feat. Ali As & Seyed) - Remix,674534,762
Kianush - Hütte im Wald (feat. PA Sports),671481,763
Eminem - Untouchable,670987,764
Sido - Masafaka,670464,765
Casper - Sirenen - Full Version,668600,766
Savas - Jedes Wort ist Gold wert,665032,767
Charlie Cunningham - Minimum,662931,768
Zuna - Dale,654765,769
Ufo361 - Mister T,654269,770
Kendrick Lamar - PRIDE.,653391,771
Cardi B - Bartier Cardi (feat. 21 Savage),653063,772
Philipp Poisel - Erkläre mir die Liebe,651814,773
Drake - No Long Talk,651507,774
Veysel - Gib ab,651244,775
Jala Brat - Nema bolje,647038,776
Kollegah - Die JBG3 Weihnachtsgeschichte,644137,777
Antilopen Gang - Pizza,643864,778
Maxwell - Es Rollt,642078,779
Boney M. - Mary's Boy Child / Oh My Lord,635076,780
Perry Como - It's Beginning to Look a Lot Like Christmas,633064,781
KC Rebell - Pics wie ein Fan,632546,782
Sarah Connor - Christmas In My Heart,629261,783
P!nk - Beautiful Trauma,628195,784
Capital Bra - Richtung Para,628041,785
Luciano - Berlin Favela,627442,786
Bushido - Angst,627434,787
Alle Farben - Please Tell Rosie,625132,788
Kay One - Senorita (feat. Pietro Lombardi),616501,789
Zuna - Czech Republic,615156,790
The Ronettes - Sleigh Ride,614173,791
Alligatoah - Du bist schön,613114,792
Mykola Dmytrovych Leontovych - Carol of the Bells,611618,793
Lionel Richie - Joy To The World,609346,794
Zuna - Ghetto,604691,795
Kodak Black - Tunnel Vision,601999,796
Kelly Clarkson - Christmas Eve,601894,797
Bibi H. - How It Is (Wap Bap...),600061,798
Kurdo - Nachtaktiv,599891,799
Stereoact - Die Immer Lacht - Radio 2016 Mix,598678,800
Motrip - So wie du bist,596914,801
Robin Schulz - Heatwave (feat. Akon),593870,802
Savas - Haste nich gesehen,590423,803
Eminem - Tragic Endings (feat. Skylar Grey),588941,804
Zuna - Viertel,588875,805
RIN - Aretha Franklin Freestyle,587088,806
Brenda Lee - Rockin' Around The Christmas Tree - Rerecorded Version,585774,807
Cashmere Cat - Trust Nobody (feat. Selena Gomez & Tory Lanez),577852,808
Sa4 - Krokodil,573979,809
Kendrick Lamar - LUST.,571022,810
Prinz Pi - Das Original,570938,811
Cro - Baum,568103,812
Nimo - LFR - Remix,567608,813
Kontra K - 2 Seelen,566636,814
Zara Larsson - Lush Life,566317,815
Lost Frequencies - All Or Nothing,564853,816
Fler - Tag Eins,564167,817
Eminem - Chloraseptic (feat. Phresher),563843,818
Casper - Lass sie gehen,560649,819
Kraftklub - Fenster,556835,820
Martin Jensen - Wait,555818,821
Savas - Wenn ich oben bin,553349,822
OneRepublic - Christmas Without You,553060,823
Trettmann - Nur noch einen,551633,824
RAF Camora - In meiner Wolke,548532,825
Trettmann - Fast Forward,546821,826
Seeb - What Do You Love,539852,827
Jax Jones - Breathe,538324,828
Metrickz - FOOTPRINTS,534675,829
Luciano - Geh meinen Weg,534213,830
KC Rebell - Ich brauch Dich,533546,831
"Major Lazer - Boom (feat. MOTi, TY Dolla $ign, Wizkid & Kranium)",532139,832
RAF Camora - Luft,532014,833
The Chainsmokers - Setting Fires,530479,834
Eminem - Nowhere Fast (feat. Kehlani),529172,835
Neele Ternes - Dad - #heimkommen,528782,836
Izzy Bizu - Talking to You,523678,837
Die Toten Hosen - Unter den Wolken,521105,838
Nimo - Veni Vidi Siktim,518420,839
Ronan Keating - It's Only Christmas,515662,840
Majoe - Stresserblick 2 (feat. Kurdo),514735,841
Conni - Conni wird 3,509261,842
Demi Lovato - Tell Me You Love Me,507635,843
Capital Bra - Was 2 hol 10,507212,844
Linkin Park - Bleed It Out,506103,845
Drake - 4422,505399,846
Eminem - Revival (Interlude),503188,847
Capital Bra - Intro,503017,848
KREAM - Taped Up Heart (feat. Clara Mae),502308,849
Matoma - Party On The West Coast (feat. Snoop Dogg),499332,850
Zuna - Volles Magazin,496917,851
Ufo361 - 1000 Bitches,495686,852
The Drifters - White Christmas,493968,853
Kraftklub - Sklave,493595,854
Zara Larsson - So Good,491911,855
Savas - Freund/Feind,490389,856
Savas - Unterschied,489418,857
Trailerpark - Endlich normale Leute,489088,858
Capital Bra - Die Echten,487632,859
Ruth B. - Lost Boy,485766,860
Astrid S - Breathe,485725,861
Majoe - Narben (feat. MoTrip),484540,862
Zuna - KMN,481901,863
RAF Camora - Realität,477491,864
Eminem - In Your Head,476446,865
Luciano - Loco Soldato,473608,866
ALMA - Phases,472759,867
Sigala - Only One - Radio Edit,470336,868
Savas - Hall Of Fame,469372,869
Tove Lo - Cool Girl,469280,870
Drake - Jorja Interlude,468032,871
Linkin Park - One Step Closer,466942,872
Frank Sinatra - Jingle Bells - 1999 - Remaster,466495,873
Kollegah - American Express (feat. Farid Bang),464827,874
Anita Kerr Singers - Jingle Bell Rock,464240,875
"Maxwell - Gezogen, Gezielt, Geschossen, Getroffen!",460143,876
Calum Scott - Dancing On My Own - Tiësto Remix,457312,877
Anitta - Downtown,453179,878
Bruno Mars - Finesse (Remix) [feat. Cardi B],452210,879
Linkin Park - Crawling,449590,880
Linkin Park - Invisible,448174,881
Marteria - Tauchstation,444010,882
Majoe - Aus Hatern werden Fans,443778,883
XXXTENTACION - Fuck Love (feat. Trippie Redd),438014,884
Imagine Dragons - Walking The Wire,437525,885
State of Sound - Wake Up Where You Are,434473,886
KC Rebell - Focus (feat. Hamza),433900,887
257ers - Holz - Weihnachtslied,431271,888
RIN - Vagabundo,428702,889
Drake - KMT,426278,890
Lil Uzi Vert - The Way Life Goes (feat. Oh Wonder),424818,891
Casper - Lang lebe der Tod,424090,892
Maluma - Corazón,421268,893
Helene Fischer - Nur mit Dir,420278,894
Luciano - Packets immer noch,418594,895
Linkin Park - Nobody Can Save Me,418268,896
KC Rebell - Paper,417302,897
Celo & Abdi - Rillé,417148,898
Eminem - Framed,416158,899
Ufo361 - 110,415644,900
Savas - Keene Probleme,414641,901
Drake - Sacrifices,413470,902
Big Sean - No Favors,412585,903
Yonii - Ziel Halal,411794,904
RIN - Dizzee Rascal Type Beat,409065,905
Eminem - Heat,406073,906
Bonez MC - Ciao Ciao,404972,907
Capital Bra - Nix zu reden,396476,908
RAF Camora - Was jetzt,394129,909
LX - Wieder vereint,392189,910
Justin Timberlake - Filthy,387430,911
Eminem - Castle,385212,912
Amy Macdonald - This Christmas Day,381707,913
Kurdo - Rolling Stone,380665,914
Lil Peep - Benz Truck - гелик,380097,915
Kendrick Lamar - BLOOD.,379868,916
Frank Sinatra - Let It Snow! Let It Snow! Let It Snow!,379707,917
KC Rebell - Magnum - Bonustrack,379280,918
Ufo361 - Wer,378082,919
The xx - On Hold,377371,920
Capo - Napoli,376753,921
Ufo361 - Du weißt wo ich wohn,375776,922
Kendrick Lamar - All The Stars (with SZA),373074,923
Burl Ives - A Holly Jolly Christmas - Single Version,372284,924
Eminem - Need Me (feat. Pink),371934,925
John Travolta - Baby It's Cold Outside,370924,926
Eminem - Offended,370194,927
Kungs - I Feel So Bad,368987,928
Anstandslos & Durchgeknallt - Ohne Dich - Radio Version,366589,929
Gryffin - Whole Heart,365094,930
Milky Chance - Blossom,363499,931
Savas - Haie,362894,932
The xx - Say Something Loving,360806,933
Kendrick Lamar - FEAR.,360256,934
"Casper - Flackern, flimmern",359214,935
RIN - Colette,358872,936
The Chainsmokers - Bloodstream,358635,937
Casper - Meine Kündigung,358535,938
SpongeBOZZ - Rhythm Is a Gangster,358467,939
Kontra K - Power,358032,940
Linkin Park - Faint,357935,941
Capo - Matador (feat. Tommy),357252,942
Cro - forrest gump,357139,943
Miami Yacine - Zigarrendunst,356555,944
Lil Peep - Save That Shit,356143,945
Casper - Morgellon,354858,946
RIN - Sag mir wenn du high bist,354489,947
Luciano - 2 Gesichter,352699,948
Imagine Dragons - I Don’t Know Why,351781,949
Capital Bra - Alle meine Jungs,351452,950
Ayo & Teo - Rolex,350975,951
Bonez MC - Erblindet,349931,952
Liam Payne - For You (Fifty Shades Freed),349676,953
Marteria - Roswell,349496,954
Cro - noch da,347722,955
Darlene Love - Christmas (Baby Please Come Home),345060,956
Luciano - Gillette,344921,957
John Gibbons - P.Y.T. (Pretty Young Thing),344731,958
Capo - Mond,341922,959
KC Rebell - So vieles noch vor - Bonustrack,341093,960
Miami Yacine - Casia,340601,961
Casper - Wo die wilden Maden graben,339845,962
Linkin Park - BURN IT DOWN,338406,963
U2 - Christmas (Baby Please Come Home),337933,964
Marteria - Blue Marlin,336629,965
DCVDNS - Neuer alter Savas,335962,966
AK Ausserkontrolle - A.S.S.N.,333930,967
The Pretenders - Have Yourself A Merry Little Christmas,333618,968
Mert - Like geile Bitches,331566,969
KC Rebell - Kontrolle verloren - Bonustrack,331565,970
Ufo361 - Kein Anlass,330841,971
Fard - Die Besten sterben jung,330087,972
Trailerpark - Poo Fighters,329515,973
Savas - Meine Pflicht,328476,974
TJ_beastboy - Modus,326054,975
Macklemore - Ain't Gonna Die Tonight (feat. Eric Nally),325664,976
Maxwell - Action,323850,977
Cro - kapitel 1,323167,978
Tom Odell - Real Love,323000,979
Michael Bublé - Holly Jolly Christmas,321969,980
Maxwell - Stadion Voll,321549,981
PA Sports - Headbanger,321304,982
Lil Peep - Awful Things,321049,983
Maxwell - Fressen und Gefressen werden,320319,984
Marteria - Cadillac,320217,985
Rihanna - Work,320147,986
Capital Bra - 300 Grad,319654,987
Drake - Skepta Interlude,316431,988
DNCE - Cake By The Ocean,315861,989
Trailerpark - Arbeitskollegen,313927,990
Calvin Harris - Heatstroke,312763,991
Karel Svoboda - Drei Haselnüsse für Aschenbrödel: Einleitung,311397,992
Ufo361 - Wann wenn nicht jetzt,311277,993
Maxwell - Neben der Spur,309792,994
The Chainsmokers - Break Up Every Night,309748,995
Ufo361 - Gott sei dank,309523,996
Lorde - Perfect Places,309461,997
Gene Autry - Here Comes Santa Claus (Right Down Santa Claus Lane),309086,998
Maxwell - Gangzeichen,308992,999
