Artist_and_Track_Name,Norway_Streams,Position
Ed Sheeran - Shape of You,31152940,1
Luis Fonsi - Despacito - Remix,30053768,2
Kygo - It Ain't Me (with Selena Gomez),24157944,3
Hkeem - Fy Faen,20722045,4
Burak Yeter - Tuesday,17334548,5
ItaloBrothers - Summer Air,17126528,6
Julia Michaels - Issues,16550770,7
Post Malone - rockstar,16025980,8
Clean Bandit - Symphony (feat. Zara Larsson),15894725,9
Martin Garrix - Scared to Be Lonely,15606347,10
"ZAYN - I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",15437940,11
The Chainsmokers - Something Just Like This,15195466,12
Cezinando - Håper du har plass,14463856,13
Axwell /\ Ingrosso - More Than You Know,14061763,14
Vidar Villa - One Night Stand,13614029,15
French Montana - Unforgettable,13520631,16
Luis Fonsi - Despacito (Featuring Daddy Yankee),13219094,17
Kygo - First Time,13189267,18
Marshmello - Silence,12861869,19
Imagine Dragons - Believer,12855891,20
DJ Khaled - I'm the One,12854604,21
Ed Sheeran - Galway Girl,12623316,22
Alan Walker - Alone,12580649,23
Astrid S - Such A Boy,12045425,24
Imagine Dragons - Thunder,12039798,25
Astrid S - Think Before I Talk,11946596,26
David Guetta - 2U (feat. Justin Bieber),11855989,27
Maggie Lindemann - Pretty Girl - Cheat Codes X CADE Remix,11607449,28
Dua Lipa - New Rules,11553125,29
Charlie Puth - Attention,11538742,30
Clean Bandit - Rockabye (feat. Sean Paul & Anne-Marie),11511272,31
Ed Sheeran - Perfect,11213126,32
Future - Mask Off,11091138,33
Ed Sheeran - Castle on the Hill,11053999,34
"Alessia Cara - How Far I'll Go - From ""Moana""",11004737,35
Calvin Harris - Feels,10937592,36
Martin Jensen - Solo Dance,10909078,37
The Chainsmokers - Paris,10773226,38
AJR - Weak,10722625,39
ZAYN - Dusk Till Dawn - Radio Edit,10614355,40
Rag'n'Bone Man - Skin,10500553,41
Kendrick Lamar - HUMBLE.,10430524,42
OneRepublic - Rich Love (with Seeb),10420649,43
Kygo - Stargazing,10329001,44
Astrid S - Breathe,10312985,45
Jonas Blue - Mama,10280565,46
Jax Jones - You Don't Know Me - Radio Edit,10108653,47
Enrique Iglesias - SUBEME LA RADIO,9977201,48
The Weeknd - I Feel It Coming,9966030,49
Logic - 1-800-273-8255,9898463,50
Robin Schulz - OK,9876783,51
Avicii - Without You (feat. Sandro Cavazza),9848508,52
Jason Derulo - Swalla (feat. Nicki Minaj & Ty Dolla $ign),9806859,53
Alan Walker - Tired,9762062,54
Miley Cyrus - Malibu,9346729,55
James Arthur - Say You Won't Let Go,9336349,56
Macklemore - Glorious (feat. Skylar Grey),9335248,57
NF - Let You Down,9327614,58
DJ Khaled - Wild Thoughts,9107525,59
Zedd - Stay (with Alessia Cara),8750072,60
Alan Walker - The Spectre,8465473,61
Shawn Mendes - There's Nothing Holdin' Me Back,8197006,62
Camila Cabello - Havana,8116342,63
Starley - Call On Me - Ryan Riback Extended Remix,8108297,64
Maroon 5 - What Lovers Do (feat. SZA),8098715,65
Alan Walker - All Falls Down,7920745,66
Alok - Hear Me Now,7878779,67
Galantis - Hunter,7847670,68
G-Eazy - Good Life (with G-Eazy & Kehlani),7845542,69
Portugal. The Man - Feel It Still,7703380,70
Linda Vidala - Bængshot,7697549,71
Lil Uzi Vert - XO TOUR Llif3,7685338,72
JOWST - Grab The Moment,7652715,73
Matoma - Party On The West Coast (feat. Snoop Dogg),7626265,74
Justin Bieber - Friends (with BloodPop®),7593969,75
Morgan Sulele - Høyt over Oslo,7540590,76
Katy Perry - Chained To The Rhythm,7484096,77
J Balvin - Mi Gente,7234877,78
Lauv - I Like Me Better,7120867,79
Plumbo - Bade naken,7087243,80
Hearts & Colors - Lighthouse - Andrelli Remix,6981796,81
Freddy Kalas - Jovial,6893662,82
Alan Walker - Faded,6842314,83
Sigrid - Don't Kill My Vibe,6797354,84
Avicii - Lonely Together (feat. Rita Ora),6729230,85
Kygo - This Town,6726452,86
Demi Lovato - Sorry Not Sorry,6672915,87
The Weeknd - Starboy,6650245,88
Katastrofe - Om Alt Går Til Helvete,6626006,89
Freddy Kalas - Gjøre Ingenting,6597344,90
Harry Styles - Sign of the Times,6545008,91
Rita Ora - Your Song,6520413,92
Post Malone - Congratulations,6515909,93
Astrid S - Vi er perfekt men verden er ikke det,6494324,94
Louis Tomlinson - Back to You (feat. Bebe Rexha & Digital Farm Animals),6485639,95
LOKE - Kjærlighet er mer enn forelskelse,6475432,96
Liam Payne - Strip That Down,6404271,97
Ina Wroldsen - Strongest,6345384,98
Selena Gomez - Wolves,6220135,99
Calvin Harris - Slide,6062413,100
Sabrina Carpenter - Thumbs,5963754,101
Cheat Codes - No Promises (feat. Demi Lovato),5823473,102
Sia - Move Your Body - Alan Walker Remix,5725240,103
Vigiland - Friday Night,5707396,104
Ed Sheeran - Happier,5605063,105
Noah Cyrus - Make Me (Cry),5532948,106
The Vamps - All Night,5477564,107
Arif - Alene,5388809,108
Chris Holsten - MEXICO,5388011,109
XXXTENTACION - Jocelyn Flores,5351974,110
Petit Biscuit - Sunset Lover,5218309,111
Martin Garrix - There for You,5155454,112
P!nk - What About Us,5137432,113
JCY - Wasting Your Time (feat. Alida),5118218,114
Bebe Rexha - Meant to Be (feat. Florida Georgia Line),5066762,115
Klingande - Pumped Up,4956662,116
Sage The Gemini - Now and Later,4943967,117
Moon Taxi - Two High,4896053,118
Hkeem - Urettferdig,4791956,119
Snakehips - Don't Leave,4772969,120
Matoma - Girl At Coachella (with Matoma & MAGIC! feat. DRAM),4766097,121
Drake - Passionfruit,4729805,122
Tungevaag & Raaban - Wake Up Alone,4659751,123
Sam Smith - Too Good At Goodbyes - Edit,4628998,124
Davai - Replay,4601309,125
Joakim Lundell - All I Need,4575818,126
Jon Bellion - All Time Low,4545220,127
Broiler - Amazing,4529168,128
Bruno Mars - That's What I Like,4523747,129
The Chainsmokers - Closer,4519701,130
Adele - When We Were Young,4460322,131
Disturbed - The Sound Of Silence,4453185,132
Kamferdrops - Jag trodde änglarna fanns,4438547,133
James TW - When You Love Someone,4402016,134
Benjamin Beats - Dill Dall (feat. Lothepus & Pilgaard),4300134,135
Cezinando - Vi er perfekt men verden er ikke det,4298976,136
"Hailee Steinfeld - Let Me Go (with Alesso, Florida Georgia Line & watt)",4247404,137
Lord Huron - The Night We Met,4163485,138
Lil Pump - Gucci Gang,4157461,139
Flo Rida - Cake,4088304,140
Steve Aoki - Just Hold On,4054985,141
Alan Walker - Sing Me to Sleep,4046774,142
Taylor Swift - Look What You Made Me Do,4044503,143
"Kygo - Cruise - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3984371,144
Khalid - Young Dumb & Broke,3982188,145
Post Malone - Go Flex,3955610,146
DJ Katch - Lights Out (Too Drunk) [feat. Hayley],3934023,147
Big Shaq - Man's Not Hot,3927085,148
Mariah Carey - All I Want for Christmas Is You,3916328,149
Calum Scott - Dancing On My Own,3854597,150
Ruben - Walls,3842958,151
Seeb - What Do You Love,3841541,152
Maroon 5 - Cold,3775635,153
Maria Mena - Home for Christmas,3658647,154
Mike Perry - The Ocean,3624978,155
Cezinando - Ingenting blir det samme men samme for meg,3585052,156
"Sia - Helium - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3575288,157
Post Malone - I Fall Apart,3573806,158
Mike Perry - Inside the Lines,3547194,159
NEIKED - Sexual,3541413,160
Stavangerkameratene - Bare så du vett det,3517948,161
TRXD - Our City,3430324,162
Sam Smith - Too Good At Goodbyes,3416259,163
Clean Bandit - I Miss You (feat. Julia Michaels),3406255,164
"Major Lazer - Know No Better (feat. Travis Scott, Camila Cabello & Quavo)",3387733,165
Mike Perry - Stay Young,3384788,166
Hailee Steinfeld - Starving,3379763,167
Wham! - Last Christmas,3361849,168
Mike Perry - Talk About It,3342041,169
Seeb - Under Your Skin,3332807,170
The Main Level - Bombadilla,3330836,171
Astrid S - Hurts So Good,3320390,172
Cezinando - Er dette alt (feat. Chirag),3317234,173
Niall Horan - Slow Hands,3312006,174
21 Savage - Bank Account,3283964,175
Migos - Bad and Boujee (feat. Lil Uzi Vert),3279107,176
Amanda Delara - Gunerius - Remix,3229058,177
LOKE - Loving You Girl,3224853,178
Zara Larsson - Only You,3214467,179
DJ Snake - Let Me Love You,3207582,180
Karpe Diem - Sulten 2 (Live på NRK P3),3194772,181
Camila Cabello - Crying in the Club,3178112,182
Julie Bergan - Arigato,3138374,183
Robin Schulz - Shed a Light,3095179,184
Staysman & Lazz - En Siste Gang,3092018,185
"Justin Timberlake - CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",3081562,186
TIX - Versace 2017,3079209,187
Matoma - False Alarm,3072546,188
Karpe Diem - Spis din syvende sans,3060599,189
Selena Gomez - Fetish (feat. Gucci Mane),3047414,190
Karpe Diem - Gunerius,3024773,191
Hearts & Colors - For The Love,2991840,192
Julie Bergan - Incapable,2988222,193
Ed Sheeran - Photograph,2969911,194
Freddy Kalas - Feel Da Rush,2967163,195
Gavin James - Nervous (The Ooh Song) - Mark McCabe Remix,2953148,196
Karpe Diem - Lett å være rebell i kjellerleiligheten din,2944597,197
Eminem - River (feat. Ed Sheeran),2942257,198
Drake - One Dance,2897179,199
Kurt Nilsen - Himmel På Jord,2894517,200
Luis Fonsi - Échame La Culpa,2885565,201
Morgan Sulele - Datt ned fra himmelen,2856947,202
Penthox - Cigarette (feat. Madcon & Julimar Santos),2813913,203
Marcus & Martinus - Elektrisk,2805053,204
JP Cooper - September Song,2760649,205
Sigala - Came Here for Love,2731397,206
Ed Sheeran - Thinking Out Loud,2717814,207
Niall Horan - Too Much To Ask,2704739,208
Skrillex - Would You Ever,2695114,209
Martin Jensen - Wait,2677674,210
TIX - Skammekroken 2017,2636552,211
Zara Larsson - I Would Like,2619164,212
Childish Gambino - Redbone,2594108,213
Freddy Kalas - Hey Ho,2585744,214
Major Lazer - Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),2561957,215
James Bay - Let It Go,2556863,216
Rhys - Last Dance,2553404,217
Sia - Snowman,2551395,218
Olivia Holt - History,2548063,219
Julie Bergan - Blackout,2547751,220
Shawn Mendes - Treat You Better,2544915,221
Kygo - Kids in Love,2533788,222
Bruno Mars - 24K Magic,2518221,223
Justin Bieber - Mistletoe,2492057,224
Martin Jensen - All I Wanna Do,2466045,225
The Chainsmokers - Don't Let Me Down,2446764,226
Dagny - Wearing Nothing,2445903,227
Selena Gomez - Bad Liar,2442850,228
Ed Sheeran - Perfect Duet (Ed Sheeran & Beyoncé),2435056,229
Chris Rea - Driving Home For Christmas,2428120,230
Ariana Grande - Side To Side,2413517,231
Sia - Cheap Thrills,2406091,232
Isaiah - It's Gotta Be You,2404455,233
Seeb - Cruel World,2400211,234
Rag'n'Bone Man - Human,2396319,235
Karpe Diem - Rett i foret,2394993,236
Shawn Mendes - Mercy,2381888,237
Madden - Echo,2366822,238
Broiler - Undercover,2362138,239
Mike Perry - Body to Body,2352437,240
Tiësto - On My Way,2350369,241
Khalid - Location,2345865,242
Dårlig Vane - Gikk I Bakken,2329389,243
Michael Bublé - It's Beginning To Look A Lot Like Christmas,2319409,244
Rae Sremmurd - Black Beatles,2318081,245
Vice - Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),2282041,246
Marcus & Martinus - Like It Like It,2274582,247
G-Eazy - Him & I (with Halsey),2270493,248
Sia - The Greatest,2240909,249
Kendrick Lamar - DNA.,2234326,250
OneRepublic - No Vacancy,2214249,251
Travis Scott - Butterfly Effect,2213132,252
Vice - Obsession (feat. Jon Bellion),2206514,253
Zara Larsson - TG4M,2204378,254
Martin Solveig - Places,2187015,255
Seeb - Boys In The Street,2171953,256
Axwell /\ Ingrosso - I Love You,2170305,257
KYLE - iSpy (feat. Lil Yachty),2168710,258
Freddy Kalas - Pinne for landet,2112699,259
"Machine Gun Kelly - Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)",2095497,260
SJUR - Let Me Love You,2092434,261
Maroon 5 - Don't Wanna Know,2090128,262
Unge Ferrari - Hologram,2080974,263
VAX - Fireproof,2058778,264
Eminem - Walk On Water (feat. Beyoncé),2052836,265
Major Lazer - Cold Water (feat. Justin Bieber & MØ),2049347,266
Freddy Kalas - Vibber,2036914,267
Hailee Steinfeld - Most Girls,2015440,268
Sigrid - Plot Twist,2013845,269
Drake - Fake Love,2010371,270
Ingebjørg Bratland - Jul i svingen,2009856,271
The Pogues - Fairytale of New York (feat. Kirsty MacColl),1985332,272
TIX - Ulovlig,1951480,273
Felix Jaehn - Feel Good,1930873,274
Machine Gun Kelly - Bad Things (with Camila Cabello),1893019,275
Arif - BBB,1876860,276
Post Malone - White Iverson,1837683,277
Ed Sheeran - Dive,1837297,278
Martin Garrix - In the Name of Love,1826141,279
"Kurt Nilsen - Let It Snow, Let It Snow, Let It Snow",1823732,280
Travelle - Wasted On You,1822311,281
Frank Pierce - Vibe,1810519,282
Tomine Harket - Nostalgi 3Millioner,1808154,283
Rita Ora - Anywhere,1802823,284
Sigrid - Strangers,1790832,285
MØ - Nights With You,1765377,286
Tungevaag & Raaban - Cold Blood,1763925,287
Charlie Puth - How Long,1757925,288
Eminem - Lose Yourself - Soundtrack Version,1751580,289
Post Malone - Candy Paint,1735854,290
Coldplay - Hymn For The Weekend - Seeb Remix,1732775,291
Rotlaus - Rundt neste sving,1730534,292
Mike Posner - I Took A Pill In Ibiza - Seeb Remix,1721565,293
Ed Sheeran - How Would You Feel (Paean),1700985,294
Kurt Nilsen - Stjernesludd,1696782,295
Drake - Signs,1672553,296
A R I Z O N A - Oceans Away,1664021,297
Twenty One Pilots - Heathens,1658227,298
Matoma - Slow (feat. Noah Cyrus),1643298,299
Zara Larsson - So Good,1643145,300
Coldplay - Christmas Lights,1640013,301
Sophie Elise - All Your Friends,1616675,302
Matoma - Heart Won't Forget,1615899,303
Ed Sheeran - New Man,1610275,304
Unge Ferrari - Ashanti,1608384,305
Cardi B - Bodak Yellow,1575945,306
Dimitri Vegas & Like Mike - Complicated (feat. Kiiara),1574403,307
Kygo - Stole the Show,1566265,308
Lila - Don't Let Go,1557070,309
Halsey - Now Or Never,1549344,310
Madcon - Got A Little Drunk,1540090,311
"Coldplay - Everglow - Single Version, Radio Edit",1539344,312
Bebe Rexha - I Got You,1538666,313
The Chainsmokers - All We Know,1534556,314
Sam Smith - Have Yourself A Merry Little Christmas,1527068,315
The Weeknd - Starboy - Kygo Remix,1525332,316
Cash Cash - All My Love (feat. Conor Maynard),1516140,317
Alexandra Joner - Kilimanjaro,1507664,318
Tungevaag & Raaban - Beast,1506387,319
Shakira - Chantaje,1505205,320
Alessia Cara - Scars To Your Beautiful,1491958,321
Tungevaag & Raaban - Coming Up,1488244,322
Adele - Hello,1449697,323
Robin Schulz - I Believe I'm Fine,1446201,324
Vidar Villa - Herregud,1441827,325
TIX - Hakkebakkeskogen 2017,1438353,326
Katastrofe - Sangen Du Hater,1425584,327
Calvin Harris - Rollin,1421436,328
John Lennon - Happy Xmas (War Is Over) - 2010 Digital Remaster,1410033,329
The Chainsmokers - The One,1404463,330
XXXTENTACION - Everybody Dies In Their Nightmares,1398180,331
Martin Garrix - So Far Away,1387831,332
Passenger - Let Her Go,1386037,333
Felix Jaehn - Hot2Touch,1342231,334
Julie Bergan - If You Love Me (feat. Tunji Ige),1339881,335
Zara Larsson - I Can't Fall in Love Without You,1334286,336
"Lil Wayne - Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",1330157,337
Justin Bieber - Love Yourself,1328549,338
Niall Horan - This Town,1318657,339
Ofenbach - Be Mine,1317152,340
Labrinth - Jealous,1311896,341
Joakim Lundell - Only Human,1284496,342
Blonde - Just For One Night (feat. Astrid S),1283667,343
Ed Sheeran - What Do I Know?,1273158,344
Skinny Days - The One That Got Away,1271537,345
Nause - Dynamite (feat. Pretty Sister),1270363,346
Desiigner - Panda,1267371,347
Eminem - 'Till I Collapse,1260003,348
Hellbillies - Den Finast Eg Veit,1256667,349
Stanaj - Romantic - NOTD Remix,1254406,350
Joel Adams - Please Don't Go,1245419,351
Alida - Cool With It,1230673,352
Dagny - Love You Like That,1221137,353
Eva Weel Skram - Selmas sang (fra Snøfall),1215053,354
Cheat Codes - Sex,1212146,355
Kesha - Praying,1202801,356
Katy Perry - Swish Swish,1195951,357
Sia - Santa's Coming For Us,1181565,358
Taylor Swift - ...Ready For It?,1178253,359
Sam Smith - Pray,1172555,360
Big Sean - Bounce Back,1170610,361
Matoma - Staying Up,1167703,362
Imagine Dragons - Whatever It Takes,1167505,363
Cashmere Cat - Quit (feat. Ariana Grande),1152697,364
Gucci Mane - I Get The Bag (feat. Migos),1152464,365
Nils Bech - O Helga Natt,1140374,366
Marcus & Martinus - Dance With You,1121886,367
eMMa - Engler i sne,1117374,368
Jason Derulo - If I'm Lucky,1112957,369
Future - Selfish,1110095,370
Hkeem - En Som Meg,1108829,371
Chris Brown - Questions,1105160,372
Lauv - The Other,1102125,373
Möwe - Skyline,1102048,374
ZAYN - Still Got Time,1090768,375
mansionz - STFU,1077919,376
Volbeat - For Evigt,1071253,377
Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez),1071210,378
Jonas Blue - Perfect Strangers,1067430,379
Marcus & Martinus - Make You Believe In Love,1066079,380
Alan Walker - Tired - Kygo Remix,1060444,381
Little Mix - Shout Out to My Ex,1056749,382
Calvin Harris - My Way,1052267,383
NEIKED - Call Me,1034057,384
James Arthur - Naked,1033889,385
Lorde - Green Light,1022483,386
Kurt Nilsen - Nå Tennes Tusen Julelys,1021900,387
HEDEGAARD - That´s Me,1013853,388
Axwell /\ Ingrosso - Dreamer,1008289,389
Lukas Graham - 7 Years,1006350,390
Imany - Don't Be So Shy - Filatov & Karas Remix,1005286,391
Ed Sheeran - I See Fire,1004329,392
CNCO - Reggaetón Lento (Remix),997148,393
Lady Gaga - The Cure,990292,394
Digital Farm Animals - Millionaire - Alan Walker Remix,981883,395
Stargate - Waterfall,979785,396
Macklemore - Good Old Days (feat. Kesha),979608,397
Kygo - Raging,972799,398
Kendrick Lamar - LOYALTY. FEAT. RIHANNA.,972204,399
FRENSHIP - Capsize,968615,400
G-Eazy - No Limit,948115,401
TIX - Baymax 2017,944771,402
Whethan - Savage (feat. Flux Pavilion & MAX),942600,403
Tunge Ferrari - Hakkebakkeskogen 2017 Guttasnekk,942417,404
Ed Sheeran - Supermarket Flowers,924882,405
A$AP Ferg - Plain Jane,924843,406
Marcus & Martinus - First Kiss,919242,407
Michael Bublé - Cold December Night,911614,408
J Balvin - Mi Gente (feat. Beyoncé),890740,409
Morgan Sulele - Karl Johan,887579,410
Aksel & Hef - Copacabana,886317,411
Marcus & Martinus - Girls,886252,412
Kygo - Fragile,885458,413
Fifth Harmony - Down,882571,414
Nico Santos - Goodbye To Love,882425,415
Karpe Diem - Dup-i-dup,879070,416
XXXTENTACION - Look At Me!,874229,417
Kurt Nilsen - Gje Meg Handa Di Venn - feat. Helene Bøksle,864239,418
The Vamps - Jingle Bell Rock,864118,419
Future Duper - Fever,861743,420
SJUR - What Do I Do,849965,421
Shawn Hook - Reminding Me,844719,422
Lady Gaga - Million Reasons,843165,423
Ariana Grande - Santa Tell Me,842310,424
BEK & Wallin - Fakkboi (Mytikas 2017),839278,425
Nico & Vinz - Intrigued,837633,426
Lars Vaular - Boys,837263,427
Alan Walker - Routine,827440,428
Sandra Lyng - Når julen kommer,827409,429
Twenty One Pilots - Stressed Out,826277,430
Meghan Trainor - I'll Be Home,825563,431
Tone Damli - Strangers,823276,432
Marcus & Martinus - Alt jeg ønsker meg,820338,433
Galantis - Love On Me,818689,434
Sandra Lyng - Bungalow,818264,435
Jason Derulo - Tip Toe (feat. French Montana),816531,436
Per Asplin - Hei Ha Na Er Det Jul Igjen,814805,437
Sam Smith - Stay With Me,814507,438
Staysman & Lazz - Tårnet til Carlsen,807424,439
Offset - Ric Flair Drip (& Metro Boomin),805479,440
XXXTENTACION - Fuck Love (feat. Trippie Redd),800047,441
Junge Junge - I Don't Love You (I'm Just Lonely),798765,442
Sunstroke Project - Hey Mamma - Radio Edit,795906,443
John Legend - Love Me Now,795639,444
Clairmont - Can`t Help Myself (feat. Mugisho and Julie Bergan),768377,445
Serlina - Puste under vann,759842,446
The Weeknd - Party Monster,756604,447
Jax Jones - Instruction (feat. Demi Lovato & Stefflon Don),747655,448
David Guetta - Dirty Sexy Money (feat. Charli XCX & French Montana),743980,449
Pojkarna - Raggarock (Pojkarna Som Busar),737191,450
Adele - Send My Love (To Your New Lover),736864,451
Maroon 5 - Wait,736170,452
KREAM - Taped Up Heart (feat. Clara Mae),735860,453
Sigala - Only One - Radio Edit,733621,454
Andy Williams - It's the Most Wonderful Time of the Year,730907,455
Alex & Sierra - Little Do You Know,730355,456
Craig David - I Know You,729103,457
Drake - Portland,728118,458
MØ - Final Song,726790,459
Erik Og Kriss - Det er alle de små tingene som gjør livet stort,719565,460
DJ Anton - Muggene Er Megasvære (Elsker Øl),711284,461
Kygo - Never Let You Go,697695,462
Camila Cabello - Never Be the Same,695828,463
Skrillex - HUMBLE. - SKRILLEX REMIX,695090,464
"Lorde - Homemade Dynamite (Feat. Khalid, Post Malone & SZA) - REMIX",691249,465
Highasakite - Samurai Swords - Acoustic Version,690679,466
Tone Damli - Di første jul,687989,467
Travis Scott - goosebumps,687075,468
Ezzari - Dør for deg,675636,469
Elly Ekko - Ikke si det til pappa,675536,470
Sofia Carson - Back to Beautiful,674881,471
Daughter - Youth,673668,472
Cir.Cuz - Din idiot,671528,473
LVNDSCAPE - Walk Away,665142,474
Bag Raiders - Shooting Stars,664929,475
"Nick Jonas - Bom Bidi Bom - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",664875,476
CLMD - Slow Me Down - feat. Skinny Days,659358,477
Ed Sheeran - Eraser,659248,478
Skei & PT - Sol og Sommer,657185,479
Morgan Sulele - Under treet,652880,480
Karpe Diem - Hvite menn som pusher 50,648948,481
TIX - Skaperen 2017,645385,482
Solguden & Mannen - Forbes 2017,642298,483
Kygo - Stay,639302,484
Ed Sheeran - Hearts Don't Break Around Here,638949,485
Aaron Carter - Sooner Or Later,634617,486
Anne-Marie - Ciao Adios,634191,487
Tiësto - Carry You Home,630119,488
Odd Nordstoga - Svingensongen,628833,489
21 Savage - Ghostface Killers,628652,490
