Artist_and_Track_Name,Norway_Streams,Position
Ina Wroldsen - Strongest - Alan Walker Remix,627519,491
Donkeyboy - Kaleidoscope,625761,492
Ed Sheeran - Barcelona,623148,493
Emelie Hollow - Feeling Of Christmas,619805,494
Staysman & Lazz - Om 100 år er allting glemt,618910,495
James TW - For You,618443,496
Bebe Rexha - Bad Bitch (feat. Ty Dolla $ign),616357,497
Imagine Dragons - Walking The Wire,609969,498
JCY - Thong Song (feat. Sisqo),604905,499
José Feliciano - Feliz Navidad,601130,500
"Wiz Khalifa - See You Again (feat. Charlie Puth) - From ""Furious 7""",599188,501
Luke Christopher - Lot to Learn,598647,502
Zara Larsson - Ain't My Fault,597647,503
Little Mix - Touch,595208,504
Maroon 5 - Help Me Out (with Julia Michaels),594350,505
Kendrick Lamar - LOVE. FEAT. ZACARI.,592845,506
Avicii - Friend Of Mine (feat. Vargas & Lagola),589079,507
Kendrick Lamar - ELEMENT.,588467,508
Kylie Minogue - Santa Baby,584433,509
Katy Perry - Bon Appétit,584310,510
TIX - Dory 2017,583665,511
Ed Sheeran - Nancy Mulligan,581797,512
Emilie Nicolas - Sky,581176,513
Hook N Sling - If You're Hearing This,580516,514
James Bay - Hold Back The River,573065,515
Jonas Blue - By Your Side,572149,516
Miley Cyrus - Younger Now,569059,517
G-Eazy - Some Kind Of Drug,569058,518
Idina Menzel - Baby It's Cold Outside (duet with Michael Bublé),565287,519
Justin Bieber - Sorry,565046,520
Brenda Lee - Rockin' Around The Christmas Tree - Single Version,556293,521
Sam Feldt - Fade Away,555585,522
Hozier - Take Me To Church,555318,523
Maybon - Majesty,552364,524
Stein Berge - Nå tennes tusen julelys,548806,525
Kygo - Sunrise,548755,526
Kamferdrops - Tusen Bitar,545056,527
Matoma - Wonderful Life (Mi Oh My) - from The Angry Birds Movie (Original Motion Picture Soundtrack),538364,528
Gabrielle - 5 fine frøkner,531285,529
U2 - You’re The Best Thing About Me - U2 Vs. Kygo,528936,530
Astrid S - Party's Over,527308,531
Jonas Blue - Fast Car,523168,532
RY X - Berlin,521223,533
The Weeknd - Sidewalks,520179,534
Sam Smith - Burning,520152,535
Taylor Swift - Gorgeous,518974,536
Migos - MotorSport,515852,537
"Major Lazer - Particula (feat. DJ Maphorisa, Nasty C, Ice Prince, Patoranking & Jidenna)",514893,538
DJ Khaled - Don't Quit,513240,539
Cezinando - Jeg bare synes du skulle ha hørt på meg (feat. Unge Ferrari),512677,540
DJ Snake - A Different Way (with Lauv),511084,541
Christel Alsos - Desember,502938,542
Highasakite - 5 Million Miles,502459,543
Svingenkoret - Santa Lucia,501010,544
Piateed - Verdiløs,498156,545
TIX - Tyven 2017,497472,546
Snøfall - Selmas sang,496355,547
Ina Wroldsen - Mary's Story,495684,548
Madden - Alive,493868,549
Ina Wroldsen - Lay It On Me,493037,550
Sara Farell - It Aint me - Acoustic,492133,551
Band Aid - Do They Know It's Christmas? - 1984 Version,490778,552
Alberto Ciccarini - Look4You,489578,553
Oslo Gospel Choir - En Stjerne Skinner I Natt,489341,554
Ingebjørg Bratland - Vintersong,488695,555
Lana Del Rey - Love,487441,556
David Guetta - Light My Body Up (feat. Nicki Minaj & Lil Wayne),487407,557
Gabrielle - Vekk meg opp,485053,558
"gnash - i hate u, i love u (feat. olivia o'brien)",477525,559
Kygo - Firestone,476800,560
The Jackson 5 - Santa Claus Is Coming To Town,473461,561
Hanne Krogh - Sonjas Sang Til Julestjernen,472997,562
XXXTENTACION - Revenge,471933,563
Den Unge Fleksnes - Under månen,471342,564
Kiiara - Whippin (feat. Felix Snow),469046,565
BEK & Wallin - Mad Mickey 2017,467745,566
Svingenkoret - Den lure nissen,465974,567
Cashmere Cat - Trust Nobody (feat. Selena Gomez & Tory Lanez),465211,568
Harry Styles - Sweet Creature,463063,569
Chris Holsten - Here We Go Again,463021,570
Major Lazer - Light It Up (feat. Nyla & Fuse ODG) - Remix,461897,571
Anne-Marie - Alarm,458818,572
Maria Celin Strisland - Runnin' (Lose It All),458438,573
Lil Xan - Betrayed,457247,574
Ed Sheeran - Save Myself,454969,575
Sara Farell - I Don't Wanna Live Forever (Fifty Shades Darker) - Acoustic,454589,576
Tommy Körberg - Julen är här,451964,577
Kurt Nilsen - When You Wish Upon A Star,447848,578
Kygo - Stranger Things,447665,579
Oslo Gospel Choir - Nordnorsk julesalme,446424,580
Susanne Sundfør - Reincarnation,446239,581
Chris Haugan - Bussen 2017,441833,582
Skei & PT - Målløs,440351,583
Cezinando - Tommelen på vekta,439796,584
Tony Bennett - Winter Wonderland,438855,585
Kamelen - Beng Beng Beng,437551,586
Aksel & Hef - Skjulested,436400,587
Zay Hilfigerrr - Juju On That Beat (TZ Anthem),433663,588
Tiësto - BOOM,430121,589
Noah Cyrus - Stay Together,426211,590
OneRepublic - Kids - Seeb Remix,422936,591
Kurt Nilsen - Christmas Song,422082,592
Gryffin - Feel Good (feat. Daya),419118,593
Céline Dion - Happy Xmas (War Is Over),418675,594
Rihanna - Love On The Brain,416958,595
Bing Crosby - White Christmas,415025,596
Lana Del Rey - Lust for Life (with The Weeknd),414434,597
Olav Haust - Hakkebakkeskogen 2017,413656,598
Dante Klein - Let Me Hold You (Turn Me On),409705,599
Linkin Park - Heavy (feat. Kiiara),409243,600
Kurt Nilsen - Auld Lang Syne,406300,601
INDIIA - Out of Love,404951,602
Ella Eyre - We Don't Have To Take Our Clothes Off,401095,603
Frank Sinatra - Let It Snow! Let It Snow! Let It Snow!,397323,604
Drake - Blem,393560,605
John Gibbons - P.Y.T. (Pretty Young Thing),391997,606
Kurt Nilsen - Walking In The Air,388822,607
Machine Gun Kelly - At My Best (feat. Hailee Steinfeld),387663,608
Ed Sheeran - Bibia Be Ye Ye,387528,609
Jax Jones - Breathe,387509,610
Kurt Nilsen - Have Yourself A Merry Little Christmas,387421,611
Calvin Harris - This Is What You Came For,381882,612
Kungs - This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners,378572,613
Odd Nordstoga - Jolevise,376099,614
EMIR - Faller,374794,615
Urban Cone - Old School,370390,616
"Wale - My Love (feat. Major Lazer, WizKid, Dua Lipa)",370006,617
Adele - Water Under the Bridge,368137,618
Galantis - Rich Boy,367486,619
blackbear - do re mi,366426,620
Eminem - Like Home (feat. Alicia Keys),365843,621
Galantis - No Money,360686,622
Cezinando - Heia meg,360525,623
Nat King Cole - The Christmas Song (Merry Christmas To You),359956,624
J. Cole - Deja Vu,359932,625
Demi Lovato - Tell Me You Love Me,354121,626
TIX - Geriljaen 2017,353830,627
Sabrina Carpenter - Why,351499,628
Pretenders - 2000 Miles - 2007 Remastered Version,348651,629
Icona Pop - GIRLS GIRLS,347197,630
Cezinando - Bilder på veggen jeg aldri ser på,343558,631
HEDEGAARD - Ready To Love You,341720,632
Alesso - Falling,341578,633
Jesper Jenset - Lies,336211,634
Sonny Alven - Your Touch,336077,635
Nevada - The Mack,328333,636
Rotlaus - Syng mej en song,327814,637
Morgan Sulele - Barn for alltid,327524,638
Eminem - Bad Husband (feat. X Ambassadors),326051,639
Train - Shake up Christmas,323544,640
Niklas - Follow Me,320742,641
N.E.R.D - Lemon,318011,642
Astrid S - Bloodstream,316298,643
Sean Paul - No Lie,313644,644
Amanda Delara - New Generation,311118,645
Cardi B - Bartier Cardi (feat. 21 Savage),307391,646
Eminem - Nowhere Fast (feat. Kehlani),306931,647
Coldplay - Hymn For The Weekend,306340,648
Mugisho - Play With You,305659,649
Kygo - Carry Me,305371,650
Anita Kerr Singers - Jingle Bell Rock,304517,651
Katy Perry - Bon appétit,300915,652
Calvin Harris - Heatstroke,300767,653
Lady Antebellum - I'll Be Home For Christmas,299378,654
Kjartan Lauritzen - Fredag,298476,655
Katastrofe - Olav Thon,297205,656
The Weeknd - Reminder - Remix,293613,657
LVNDSCAPE - Dive With Me,290315,658
"Kurt Nilsen - Baby, It's Cold Outside - feat. Christel Alsos",289681,659
"Tove Lo - Lies In The Dark - From ""Fifty Shades Darker"" (Original Motion Picture Soundtrack)",289253,660
Drake - Free Smoke,288640,661
State of Sound - Wake Up Where You Are,287834,662
"G-Eazy - Me, Myself & I",286799,663
Cheat Codes - Feels Great (feat. Fetty Wap & CVBZ),284499,664
Coldplay - Everglow - Single Version,283385,665
Julia Michaels - Issues - Alan Walker Remix,282766,666
Drake - Gyalchester,281479,667
Fifth Harmony - Work from Home,280979,668
Prebz Og Dennis - Nissen Må Skjerpe Seg,280973,669
Logic - Broken People (with Logic & Rag'n'Bone Man),279844,670
Møme - Aloha,278720,671
TIX - Kobraen,275437,672
Kristian Kristensen - Nella Fantasia / Gabriel`s Oboe (Live i studio),273958,673
Madden - All About You,271187,674
Imagine Dragons - I Don’t Know Why,270598,675
Mura Masa - Love$ick (feat. A$AP Rocky),269644,676
The Script - Rain,268415,677
JP Cooper - Birthday,268186,678
Carola - Nu tändas tusen juleljus,266670,679
Cash Cash - Matches,265770,680
Amanda Delara - Dirhamz,264744,681
Zedd - Get Low (with Liam Payne),262809,682
The Chainsmokers - Break Up Every Night,258853,683
Eminem - Believe,257797,684
TIX - Bad Boy,257476,685
Cezinando - Selv du,254222,686
Coldplay - Miracles (Someone Special),253575,687
Lil Uzi Vert - The Way Life Goes (feat. Oh Wonder),251720,688
Halsey - Not Afraid Anymore,251088,689
Galantis - Girls On Boys,249767,690
Kendrick Lamar - The Heart Part 4,248644,691
Sondre Justad - Riv i hjertet,245607,692
Lil Peep - Save That Shit,236870,693
Kendrick Lamar - FEEL.,236761,694
Twenty One Pilots - Ride,235499,695
Camila Cabello - Real Friends,235475,696
Michael Bublé - Holly Jolly Christmas,231232,697
Kendrick Lamar - PRIDE.,230611,698
Sophie Elise - In My Head,228672,699
Eminem - Remind Me,227372,700
Kendrick Lamar - XXX. FEAT. U2.,226320,701
Sandra Lyng - Ta me dit,225993,702
Kendrick Lamar - YAH.,225057,703
Migos - T-Shirt,224639,704
Flo Rida - Game Time (feat. Sage The Gemini),224270,705
Drake - Get It Together,223540,706
Danny Ocean - Me Rehúso,221910,707
Highasakite - Golden Ticket,219775,708
Mike Perry - Hands,219748,709
Kurt Nilsen - Amazing,219629,710
G-Eazy - Sober,218723,711
Sam Smith - One Last Song,218384,712
Zak Abel - All I Ever Do (Is Say Goodbye),217537,713
Kendrick Lamar - All The Stars (with SZA),216468,714
Elvis Presley - Blue Christmas,216196,715
Marc E. Bassy - You & Me,214683,716
Marcus & Martinus - One Flight Away,211763,717
Cezinando - Stillhet som skriker til meg,209196,718
Freddy Kalas - Sunshine Hits My Face,209112,719
Liam Payne - For You (Fifty Shades Freed),208409,720
ZAYN - PILLOWTALK,206241,721
Kanye West - Famous,202331,722
Tone Damli - Pinnacle,199128,723
Avicii - You Be Love (feat. Billy Raffoul),198705,724
Drake - No Long Talk,198304,725
JOWST - ThatFeeling (feat. Aleksander Walmann),198204,726
Eminem - Untouchable,197482,727
Ruth B. - Lost Boy,197203,728
Drake - Madiba Riddim,196754,729
ALMA - Phases,196231,730
Tove Lo - Cool Girl,195028,731
Vidar Villa - Et Par Rolige Shots Med Gutta,193701,732
David Guetta - This One's For You (feat. Zara Larsson) - Official Song UEFA EURO 2016,193475,733
Cezinando - Botanisk Hage,191749,734
ItaloBrothers - Sorry,190336,735
Ariana Grande - Into You,189435,736
Staysman & Lazz - KJØRR,189168,737
Hanne Krogh - Vi Tenner Våre Lykter,189053,738
Travellin' Strawberries - The Støvel Dance,188077,739
TIX - Gullalderen 2017,186479,740
Kodak Black - Tunnel Vision,184548,741
Postgirobygget - Idyll,184279,742
Kurt Nilsen - Winter Wonderland,183472,743
Michael Bublé - White Christmas (Duet With Shania Twain),183229,744
Sonny Alven - Too Late To Love Me,181886,745
Ed Sheeran - The A Team,178574,746
Sondre Justad - Ingenting,177069,747
Bruno Mars - Finesse (Remix) [feat. Cardi B],176004,748
SNBRN - Gangsta Walk,175676,749
Zara Larsson - Lush Life,175368,750
Anne-Marie - Then,174912,751
Jonas Benyoub - Youm Wara Youm,174150,752
Kendrick Lamar - LUST.,173354,753
Justin Timberlake - Filthy,172776,754
Eartha Kitt - Santa Baby,172775,755
Kygo - Riding Shotgun,172464,756
Eminem - Mockingbird,172261,757
Michael Bublé - Santa Claus Is Coming To Town,169809,758
Nicki Minaj - No Frauds,169176,759
DRAM - Broccoli (feat. Lil Yachty),168871,760
TIX - Future,167347,761
Philip Emilio - VIII TO (med Astrid S),166406,762
Eminem - Tragic Endings (feat. Skylar Grey),163923,763
Oslo Gospel Choir - En stjerne skinner i natt,163487,764
Linkin Park - In The End,163419,765
Ella - Pop drop dab,161276,766
Sam Smith - Say It First,161019,767
Rotlaus - E på vei,159998,768
SHY Martin - Good Together,157512,769
Carly Rae Jepsen - Last Christmas,156837,770
Kristian Kostov - Beautiful Mess,155170,771
Drake - KMT,154115,772
Sultan + Shepard  - Almost Home,153734,773
KREAM - Drowning,153661,774
Bobby Helms - Jingle Bell Rock,152838,775
Cezinando - Uansett,151548,776
Drake - 4422,150599,777
JP Cooper - She's On My Mind,150131,778
Aminé - Caroline,149447,779
Bebe Rexha - The Way I Are (Dance With Somebody) [feat. Lil Wayne],149173,780
Drake - Teenage Fever,148823,781
Susanne Sundfør - Undercover (Edit),147890,782
Future - Mask Off - Remix,147086,783
James Blunt - Love Me Better,146856,784
Kaleo - All The Pretty Girls,146424,785
Ilinca - Yodel it!,146038,786
Kurt Nilsen - White Christmas,145533,787
Kygo - It Ain't Me - Tiësto's AFTR:HRS Remix,145204,788
KVR - Never Gonna Be,144950,789
The Vamps - Middle Of The Night,144616,790
Logan Paul - Help Me Help You (feat. Why Don't We),144346,791
Hekla Stålstrenga - Nordnorsk julesalme,144070,792
Shakin' Stevens - Merry Christmas Everyone - Remastered,142051,793
Cashmere Cat - Love Incredible (feat. Camila Cabello),139830,794
DJ Khaled - To the Max,139588,795
TIX - Sjeiken 2015,138638,796
Seeb - Breathe,138560,797
Odd Nordstoga - Maria på veg - Acoustic / Bonus Track,138034,798
A R I Z O N A - Oceans Away - Sam Feldt Remix,136933,799
Eminem - Need Me (feat. Pink),136919,800
Erik Og Kriss - Leker deilig,136896,801
Brandon Beal - Paradise (with Olivia Holt),136446,802
Salvador Sobral - Amar pelos Dois,136004,803
Sondre Justad - Paradis,134217,804
Blanche - City Lights,133201,805
The Weeknd - Reminder,132791,806
Grace VanderWaal - Moonlight,132699,807
Boreal - Make Me (Cry) - Acoustic,132538,808
Vigiland - Another Shot,132279,809
Rob $tone - Chill Bill,130627,810
Bing Crosby - Winter Wonderland,130477,811
Sondr - Live Love Learn,129293,812
Charli XCX - Boys,129044,813
Alf Prøysen - Romjulsdrøm,128902,814
Coldplay - Hypnotised,127364,815
Dean Martin - Let It Snow! Let It Snow! Let It Snow!,124525,816
Sam Smith - No Peace,123823,817
Karpe Diem - Den islamske elefanten,123648,818
Unge Ferrari - Venstre (med Medina),122209,819
Drake - Jorja Interlude,121643,820
Kendrick Lamar - BLOOD.,121623,821
Bearson - One Step At A Time,121497,822
Armin van Buuren - Sunny Days,121348,823
Diplo - Get It Right (feat. MØ),120539,824
"Highasakite - Lover, Where Do You Live?",120504,825
P!nk - Beautiful Trauma,120315,826
Charli XCX - Out Of My Head (feat. Tove Lo and ALMA),118846,827
JP Cooper - Passport Home - Deepend Remix,118410,828
John De Sohn - Hum With Me,118265,829
Kendrick Lamar - FEAR.,117928,830
Avicii - What Would I Change It To (feat. AlunaGeorge),117361,831
The Script - Rock the World,116973,832
DJ Khaled - Shining,116530,833
Frank Ocean - Chanel,114322,834
Marcus & Martinus - Bae,114187,835
Eminem - In Your Head,113938,836
Philip Emilio - VIII,113780,837
Anderson - Forever Young,113410,838
Zara Larsson - What They Say,112789,839
Kendrick Lamar - DUCKWORTH.,112667,840
Camila Cabello - OMG,112064,841
Nause - Summer Hangover,111786,842
Nico & Vinz - Listen,111636,843
Swedum - Summer State of Mind,111328,844
Chris Brown - This Christmas,111191,845
Rudimental - Sun Comes Up,110450,846
Karpe Diem - Hus/hotell/slott brenner,109650,847
R3HAB - I Just Can't,108604,848
Drake - Sacrifices,108462,849
Marcus & Martinus - Light It Up,108072,850
ALMA - Chasing Highs,107322,851
CLMD - Never Wanna Lose You - feat. Justine Skye & Jesper Jenset,107219,852
P!nk - Revenge,106704,853
ABBA - Happy New Year,106697,854
Linkin Park - Numb,106207,855
Eminem - Chloraseptic (feat. Phresher),106098,856
Avicii - So Much Better - Avicii Remix,105481,857
Moberg - Evig ung,105208,858
Karpe Diem - Attitudeproblem,105177,859
Arif - 2012,104599,860
Daniela Andrade - The Perfect Christmas,104158,861
Eminem - Revival (Interlude),103646,862
Sissel - Jul i svingen,103214,863
SAARA - Superpowers,103049,864
Big Sean - No Favors,102876,865
Sonny Alven - Wasted Youth,102280,866
Gabrielle - September,102044,867
Fergie - Life Goes On,101987,868
Karpe Diem - Toyota´n til Magdi,101102,869
Marcus & Martinus - Together,101091,870
Lana Del Rey - Lust For Life (with The Weeknd),100169,871
Zara Larsson - Don't Let Me Be Yours,99992,872
MØ - When I Was Young,99912,873
Martin Garrix - Pizza,99908,874
Cir.Cuz - Hjerteknuser,99803,875
Sigrid - Dynamite - Acoustic,99802,876
Kendrick Lamar - GOD.,99644,877
"Corinne Bailey Rae - The Scientist - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",99589,878
Basic Tape - No Matter (Basic Tape vs. Frances),99329,879
Per Asplin - Spikke-Sage-Lime-Banke,99213,880
Lana Del Rey - 13 Beaches,98646,881
Robin Bengtsson - I Can´t Go On,97835,882
ARY - Already There,97242,883
Sam Smith - HIM,97168,884
John Mayer - Moving On and Getting Over,97140,885
Den BB - På kroken,97017,886
August Dahl - Writing's On The Wall,96543,887
Sia - Ho Ho Ho,96431,888
Katy Perry - Hey Hey Hey,96001,889
Liam Payne - Bedroom Floor,95685,890
Michael Bublé - All I Want For Christmas Is You,95337,891
Eminem - Framed,95294,892
Anne-Marie - Heavy,95285,893
Birgir - Can You Feel It,95278,894
G-Eazy - Just Friends,95192,895
Hardwell - Creatures Of The Night,95148,896
Eminem - Heat,95145,897
Nick Jonas - Find You,94915,898
Bebe Rexha - (Not) The One,94779,899
Michael Bublé - Have Yourself A Merry Little Christmas,94524,900
Lars Vaular - Panorama,94460,901
XXXTENTACION - Depression & Obsession,94140,902
James TW - Ex,94006,903
Sam Smith - Midnight Train,93708,904
Wiz Khalifa - Something New (feat. Ty Dolla $ign),93571,905
G-Eazy - The Plan,93314,906
Ariana Grande - One Last Time,93236,907
Maggie Lindemann - Obsessed,93115,908
Jonas Blue - We Could Go Back,92988,909
Lorde - Liability,91554,910
Future Duper - Feels So Good (feat. Hanne Mjøen),90962,911
TRXD - Crazy,90942,912
Eminem - Castle,90510,913
Lil Peep - Benz Truck - гелик,89936,914
Jesper Jenset - Painkiller,89293,915
J. Cole - No Role Modelz,88718,916
Drake - Do Not Disturb,88660,917
Jasmine Thompson - Old Friends - Jonas Blue Remix,88307,918
"Sam Smith - Baby, You Make Me Crazy",87996,919
ARY - Childhood Dreams,87862,920
Calvin Harris - Cash Out,87633,921
Fun - Sleigh Ride,87527,922
Drake - Glow,87132,923
Drake - Skepta Interlude,86850,924
Eminem - Offended,86707,925
Eminem - Arose,86433,926
Julie Bergan - Blackout - acoustic,86000,927
Kygo - With You,85675,928
Foo Fighters - The Sky Is A Neighborhood,85602,929
Afrojack - Another Life,85573,930
BTS - DNA,85316,931
Nick Jonas - Remember I Told You,85115,932
Maroon 5 - Whiskey (feat. A$AP Rocky),85068,933
Lukas Graham - Off to See the World,84152,934
Rotlaus - Ei runde til,83829,935
Rytmeklubben - Like That,83485,936
Future - Patek Water,83351,937
Turab - Ride Home,83339,938
Kristian Kristensen - Alltid elske dæ,83080,939
Maty Noyes - in my miNd,82637,940
XXXTENTACION - Carry On,82290,941
Snakehips - Either Way,81854,942
John Legend - All of Me,81332,943
Sam Smith - Nothing Left For You,81213,944
Ed Sheeran - Shape of You (Major Lazer Remix) [feat. Nyla & Kranium],79899,945
Unge Ferrari - D&G (Med Cherrie),79276,946
Innertier - Si ja!,79274,947
Marcus & Martinus - Next To Me,79184,948
Isac Elliot - AYO,78700,949
Gucci Mane - Curve (feat. The Weeknd),78622,950
Cheat Codes - Sober,78029,951
Ylva - Urettferdig,77912,952
Maroon 5 - What Lovers Do,77855,953
Linkin Park - Good Goodbye (feat. Pusha T and Stormzy),77051,954
Charli XCX - After The Afterparty (feat. Lil Yachty) - Alan Walker Remix,76730,955
Fuse ODG - Boa Me (feat. Ed Sheeran & Mugeez),76625,956
Martin Garrix - Forever,76145,957
Daniel Kvammen - Me dansar ikkje for moro skyld,75636,958
"Hanne Sørvaag - God morgen, min kjære",75503,959
SJUR - Lovesick,74899,960
Kygo - Permanent,74638,961
Tove Lo - Disco Tits,72999,962
Joakim Lundell - My Addiction,72764,963
Macklemore - Ain't Gonna Die Tonight (feat. Eric Nally),72652,964
Rae Sremmurd - Perplexing Pegasus,71821,965
Gabrielle - Venter,71803,966
Drake - Can't Have Everything,71474,967
Alan Walker - Ignite - Instrumental,71001,968
Julia Michaels - Uh Huh,70847,969
Adelén - Go Home,70605,970
Drake - Lose You,70479,971
Susanne Sundfør - Undercover,69891,972
Kris Kross Amsterdam - Are You Sure? (feat. Ty Dolla $ign),69773,973
Angelina Jordan - White Christmas,69692,974
Ylva - This Ain't Love,69661,975
Timeflies - Gravity,69525,976
Ezzari - Null,69194,977
Sam Smith - Scars,68971,978
Arif - AV&PÅ,68863,979
Camila Cabello - Never Be the Same - Radio Edit,68754,980
Stargate - Waterfall - Seeb Remix,68722,981
Flo Rida - Hola (feat. Maluma),68672,982
Ella Eyre - Ego (feat. Ty Dolla $ign),68270,983
Kodak Black - Codeine Dreaming (feat. Lil Wayne),67963,984
Hekla Stålstrenga - Det lyser i stille grender,67264,985
Big Sean - Moves,66257,986
Madcon - Ting & Tang (feat. Arif),66224,987
Chris Brown - Party,65724,988
Drake - Ice Melts,65375,989
Digital Farm Animals - Digital Love (feat. Hailee Steinfeld),62228,990
Vigiland - Pong Dance,62024,991
Karpe Diem - Her,61844,992
Susanne Sundfør - Mantra,61765,993
Jay Sean - Do You Love Me,61001,994
Imagine Dragons - I’ll Make It Up To You,60737,995
Taylor Swift - Shake It Off,60686,996
Coldplay - All I Can Think About Is You,60017,997
Marcus & Martinus - Bae - KVR Remix,59911,998
French Montana - A Lie,59667,999
