Artist_and_Track_Name,France_Streams,Position
Kalash Criminel - Mélanger,1228188,497
PNL - Tu sais pas,1224791,498
Jul - Cagoulé,1213968,499
Dosseh - Putain d'époque,1212899,500
Jul - Comme les gens d'ici,1195074,501
Eminem - Walk On Water (feat. Beyoncé),1187986,502
Deorro - Bailar,1187577,503
Machine Gun Kelly - Bad Things (with Camila Cabello),1186656,504
Lacrim - J'essaie,1183586,505
Damso - BruxellesVie,1173632,506
Alonzo - DLG,1168156,507
Nekfeu - Besoin de sens,1141265,508
SCH - Nino Brown,1140179,509
Lorenzo - Freestyle du sale,1133217,510
Ed Sheeran - Thinking Out Loud,1128612,511
Naps - Vroum vroum,1120579,512
Nekfeu - Princesse,1119789,513
Jonas Blue - Perfect Strangers,1116925,514
Twenty One Pilots - Stressed Out,1110446,515
Dadju - J'ai dit non,1109062,516
Kaaris - Feghouli,1105155,517
Lacrim - Audemars Piguet,1103709,518
Vald - Trophée,1101252,519
Alicia Keys - Blended Family (What You Do For Love),1100456,520
Mister V - Deutsche Qualität,1098046,521
Jonas Blue - Fast Car,1086618,522
Ariana Grande - Side To Side,1084342,523
Lacrim - Laisse-les,1071197,524
Djadja & Dinaz - La haine,1069785,525
Diplo - Get It Right (feat. MØ),1069209,526
Lacrim - Pardon...,1066997,527
Robin Schulz - I Believe I'm Fine,1056261,528
Lacrim - Partis de rien,1049788,529
MMZ - Pardon,1048992,530
Gradur - Dans ma vie,1046191,531
Sofiane - C'est nous les condés,1041401,532
Hailee Steinfeld - Starving,1039657,533
Miley Cyrus - Malibu,1039539,534
Hornet La Frappe - T'es un marrant (feat. Sofiane),1039167,535
Kendrick Lamar - LOYALTY. FEAT. RIHANNA.,1033818,536
Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez),1032991,537
Hornet La Frappe - Igo,1029722,538
Hamza - Vibes,1026655,539
Katy Perry - Bon Appétit,1024941,540
Adele - Water Under the Bridge,1023744,541
The Chainsmokers - Don't Let Me Down,1018759,542
Jul - Je m'en fous de ta nana,1017031,543
Jul - C'est le son de la gratte,1014834,544
Lisandro Cuxi - Danser,1011216,545
Hayce Lemsi - Pull in up,1011114,546
MMZ - Bulma,1010270,547
Dadju - Jenny,1005767,548
Lacrim - Ça paie pas,1003027,549
Rim'K - Fantôme,1000110,550
Niro - Printemps blanc,995161,551
Lacrim - Cohiba,994035,552
S.Crew - J’aurais pas dû,992398,553
Migos - MotorSport,969931,554
Sadek - Napoli,966663,555
Lacrim - Papa Trabaja,965933,556
MAI LAN - Vampire,945647,557
Sofiane - Le cercle,942269,558
Lacrim - Vory V Zakone,930453,559
Lacrim - La valise,929479,560
Naza - A Gogo,927924,561
Broken Back - Halcyon Birds,921013,562
Hayce Lemsi - Havana,910689,563
Niall Horan - Too Much To Ask,908033,564
Halsey - Now Or Never,906260,565
Booba - Validée,904259,566
Siboy - Mula,897964,567
Jul - Je traîne seul,897489,568
Djadja & Dinaz - J'suis kha,890832,569
Nekfeu - Programmé,887877,570
Djadja & Dinaz - En vrai,882131,571
Hooss - A la Gustavo,879282,572
Greg June - How Many Times,862691,573
"Ryan Gosling - City Of Stars - From ""La La Land"" Soundtrack",857920,574
Lacrim - Mode S,857362,575
The Vamps - All Night,852419,576
Timal - La 6,834389,577
Hornet La Frappe - Terrain glissant (feat. Kalash Criminel),830469,578
Johnny Hallyday - Allumer le feu,828579,579
Lacrim - Nuit blanche,814739,580
13 Block - Vide,813011,581
Busy P - Genie (feat. Mayer Hawthorne) - Radio Edit,805720,582
PNL - Mira,800917,583
Jul - Tu mentiras,786435,584
Coldplay - Hymn For The Weekend - Seeb Remix,782291,585
Kendrick Lamar - ELEMENT.,781194,586
Kalash Criminel - Euphorie,780415,587
Nekfeu - Vinyle,779316,588
Sofiane - 93 empire,773093,589
Djadja & Dinaz - On parle pas,773041,590
Claudio Capéo - Un homme debout,771037,591
Mister V - Gville,766886,592
Dadju - Déjà donné,762606,593
Sofiane - Pégase,758473,594
James Arthur - Naked,755770,595
ALP - Pause,755303,596
Wham! - Last Christmas,751859,597
Djadja & Dinaz - Seuls,749727,598
Alessia Cara - Scars To Your Beautiful,749201,599
Vald - Megadose,739831,600
Ed Sheeran - Dive,739164,601
KYLE - iSpy (feat. Lil Yachty),734782,602
G-Eazy - No Limit,733124,603
PNL - Uranus,732454,604
Django - Fichu,730993,605
Drake - Blem,729879,606
SCH - Allo maman,727340,607
Ty Dolla $ign - Darkside (with Ty Dolla $ign & Future feat. Kiiara),725006,608
Anne-Marie - Ciao Adios,722117,609
The Lumineers - Ophelia,720649,610
Lacrim - Mythone pas,717074,611
Alonzo - La vaillance,716863,612
Johnny Hallyday - Le pénitencier,714585,613
Sia - Santa's Coming For Us,714048,614
Mister V - Demain,694157,615
Hearts & Colors - Lighthouse - Andrelli Remix,682696,616
Jul - Je suis resté le même,681740,617
Dadju - #PTD,676409,618
PNL - Humain,668784,619
Johnny Hallyday - Quelque chose de Tennessee,662071,620
Alonzo - Génération X-Or,657988,621
Mister V - Bulletproof,646222,622
Petit Biscuit - Waterfall,644002,623
Hornet La Frappe - Ça passe,643879,624
Offset - Ric Flair Drip (& Metro Boomin),640031,625
Jul - Fratellu,639035,626
MC Fioti - Joga O Bum Bum Tam Tam,637650,627
Guy2bezbar - Strike,633157,628
DTF - Avant de partir,629362,629
Johnny Hallyday - Requiem pour un fou,627859,630
DNCE - Cake By The Ocean,624282,631
Kendrick Lamar - LOVE. FEAT. ZACARI.,624133,632
Jul - E.T.,623512,633
Hornet La Frappe - 2 fois plus,619599,634
Jul - Madame,618325,635
XXXTENTACION - Fuck Love (feat. Trippie Redd),616931,636
Jul - Monde violent,612356,637
Mister V - Thérapie,607364,638
Lacrim - Solitaire,606738,639
Hornet La Frappe - Boca,602789,640
Maître Gims - Marabout,601653,641
Vald - Désaccordé,600966,642
Marwa Loud - Fallait pas,598675,643
Calvin Harris - This Is What You Came For,598390,644
Sofiane - Un boulot sérieux,588665,645
Jul - Le 46 de Rossi,587022,646
Ed Sheeran - How Would You Feel (Paean),585051,647
Djadja & Dinaz - Avant,583463,648
Sneazzy - N17,583277,649
MC Fioti - Bum Bum Tam Tam,583215,650
Rim'K - Rien de lavable,582066,651
Jul - Saoûlé,581336,652
Keen' V - Elle a,580315,653
Joyce Jonathan - Les filles d'aujourd'hui,579049,654
Johnny Hallyday - Marie,579031,655
Fifth Harmony - Down,577934,656
"Emma Stone - Someone In The Crowd - From ""La La Land"" Soundtrack",575210,657
Johnny Hallyday - Que je t'aime,573493,658
Kaaris - Victoire,568942,659
SCH - Allez leur dire,568827,660
Hearts & Colors - Shame,566137,661
Lacrim - 3dabi,563293,662
Kaaris - Végéta,559892,663
Ed Sheeran - New Man,558322,664
Ninho - Tout ira mieux,551351,665
SCH - Les années de plomb,551143,666
Johnny Hallyday - Sang pour sang,546576,667
AM - Histoire de,545163,668
Abou Debeing - C'est pas bon,543770,669
Lacrim - London Blues,543162,670
Jul - Temps d'avant,541220,671
SCH - Day Date,531238,672
Sofiane - Maître Ruben,525688,673
SCH - Pas la paix,525433,674
Kaaris - Marchand d’ivoire,522085,675
Ed Sheeran - What Do I Know?,515948,676
SCH - Ca va,513399,677
Cheat Codes - No Promises (feat. Demi Lovato),508548,678
Jul - Mon tiek ti amo,503220,679
Jul - Je fais le sourd,502853,680
Jul - Ça rêve,497475,681
Kalash - Snitch,497015,682
Jul - Mon bijou,496924,683
Jul - Flêcheur fou,492764,684
S.Pri Noir - Baby Gyal,491563,685
Hamza - Juste une minute,491221,686
Sneazzy - Ouais mec - Remix,488633,687
Camila Cabello - Crying in the Club,483176,688
Dadju - Monica,482189,689
Mister V - Nightcall,477959,690
Petit Biscuit - Gravitation,472328,691
Drake - Free Smoke,469826,692
Yall - Hundred Miles,468450,693
Kaaris - Menace,467376,694
"Lil Wayne - Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",462019,695
Djadja & Dinaz - Les crocs,460350,696
Jul - Je ne veux pas partir,457947,697
Camila Cabello - Real Friends,455340,698
Ed Sheeran - Barcelona,455073,699
Ed Sheeran - Supermarket Flowers,454618,700
Naza - À gogo,453859,701
Eminem - Believe,450931,702
Naps - Elle t'a piqué,450372,703
Mister V - Cendrillon,450027,704
Feder - Blame Me,449812,705
Ed Sheeran - Eraser,446951,706
Jul - Qui sait,446897,707
Vald - Je t'aime,441145,708
Kendrick Lamar - YAH.,440616,709
Jul - Vendetta,440422,710
Jul - Imagine,437910,711
Jul - Full Option,436074,712
Drake - Get It Together,435597,713
DRAM - Broccoli (feat. Lil Yachty),435412,714
Polo & Pan - Canopée,434217,715
Alonzo - Terrain,431795,716
Kendrick Lamar - PRIDE.,429880,717
Jain - Come,426797,718
Hamza - Mucho Love,425393,719
Kalash Criminel - Sale sonorité,425114,720
Naza - Sac à dos,424995,721
P!nk - Beautiful Trauma,424916,722
Katy Perry - Swish Swish,423615,723
Fakear - Silver,419883,724
Major Lazer - Believer,418410,725
Kendrick Lamar - XXX. FEAT. U2.,414646,726
Vald - Si j'arrêtais,413131,727
Alonzo - La paix n'a pas de prix,411264,728
Niro - Avant de partir,407760,729
Hornet La Frappe - T'as géchan,407252,730
Drake - Madiba Riddim,404247,731
MHD - Afro Trap Pt. 3 (Champions League),403901,732
Ed Sheeran - Nancy Mulligan,400979,733
SCH - Météore,395150,734
Jul - Survêt du Milan,394833,735
Ed Sheeran - Bibia Be Ye Ye,393641,736
Djadja & Dinaz - J'veux plus les voir,392093,737
Jul - Va te faire foutre,391598,738
Vald - Kid Cudi,391552,739
Rim'K - 500 €,391301,740
SCH - Temps mort,391010,741
Drake - Gyalchester,390327,742
Sofiane - Savastano,388108,743
"Nick Jonas - Bom Bidi Bom - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",385840,744
Kendrick Lamar - FEEL.,383510,745
Linkin Park - In The End,382916,746
Big Sean - Bounce Back,380566,747
PNL - Kratos,380105,748
Bebe Rexha - (Not) The One,379040,749
ZAYN - Still Got Time,377136,750
Ed Sheeran - Hearts Don't Break Around Here,376916,751
Sofiane - Bandit saleté,376559,752
Jul - C'est ça,376119,753
Bigflo & Oli - Ça va trop vite,374691,754
Linkin Park - Numb,373041,755
SCH - La nuit,372307,756
Jul - À la cité,371151,757
Hornet La Frappe - Poukie,370540,758
Jul - Le jaloux,369176,759
Mister V - Bonobo (Bonus Track),369097,760
Sofiane - DZ mafia,368791,761
Jaded - In the Morning,368295,762
Johnny Hallyday - Laura,364780,763
Djadja & Dinaz - J'ai pas dormi de la nuit,364381,764
Alonzo - Elvira,364307,765
Hornet La Frappe - Sale idée,363197,766
Rilès - In the Jungle,362849,767
"Justin Hurwitz - Mia & Sebastian’s Theme - From ""La La Land"" Soundtrack",360400,768
Kendrick Lamar - LUST.,359870,769
Kalash - Mode avion,357045,770
Hornet La Frappe - Mon ex,356399,771
MMZ - Laisse les parler,355416,772
Benash - Coco,355199,773
Amir - On dirait,350816,774
Sofiane - Fais le mouv,348995,775
Nekfeu - Ma dope,347526,776
Rag'n'Bone Man - Grace,346515,777
Lacrim - Gustavo Gaviria,344733,778
Zay Hilfigerrr - Juju On That Beat (TZ Anthem),343940,779
Bigflo & Oli - Trop tard,343423,780
Soprano - Mon précieux,342585,781
DTF - Comme un fou,340156,782
Eminem - Remind Me,338543,783
Vald - Neo,337414,784
Drake - No Long Talk,336965,785
Dagny - Wearing Nothing,330017,786
Vald - Totem,329029,787
Kaaris - Mood,327014,788
Jul - Facilement,325145,789
Synapson - Djon Maya Maï - feat. Victor Démé [Original Mix],322235,790
Eminem - Lose Yourself - Soundtrack Version,318895,791
Robin Schulz - Sugar (feat. Francesco Yates),317146,792
Alonzo - K-2000,315812,793
Purple Disco Machine - Devil in Me,315761,794
Kaaris - Pas idée,313875,795
Drake - 4422,313722,796
SCH - Ma kush,312510,797
Michael Bublé - It's Beginning To Look A Lot Like Christmas,311166,798
Frank Sinatra - Let It Snow! Let It Snow! Let It Snow!,308247,799
Lorenzo - Le son qui fait plaiz,306425,800
Cardi B - Bartier Cardi (feat. 21 Savage),302084,801
Kaaris - Être deux,301160,802
Kaaris - Oublier,301048,803
Rim'K - Room Service,297914,804
Black M - #Askip,296862,805
Busy P - Genie (feat. Mayer Hawthorne),296572,806
Sofiane - Rebeulotte,294874,807
Eminem - Like Home (feat. Alicia Keys),294562,808
Alonzo - Jalousie,294089,809
Hayce Lemsi - Le bon chemin,293946,810
Dadju - Gentleman 2.0 - Intro,292644,811
Joke - Vision,292081,812
Taylor Swift - ...Ready For It?,289527,813
Lana Del Rey - Lust for Life (with The Weeknd),287445,814
MMZ - J'monte,285581,815
Eminem - Untouchable,282591,816
Kygo - Kids in Love,282433,817
Wisin - Escápate Conmigo,282241,818
Jul - Je ne vous oublie pas,282047,819
Columbine - Temps électrique,281067,820
Nekfeu - On verra,280988,821
Sadek - Maladie,280863,822
Drake - Jorja Interlude,280728,823
SCH - Slow Mo,278555,824
Shay - Cabeza,275864,825
Drake - Teenage Fever,275499,826
Djadja & Dinaz - Je m'isole,274790,827
Rohff - Détrôné,271600,828
Johnny Hallyday - Gabrielle,270927,829
London Grammar - Rooting For You,268842,830
Drake - Sacrifices,268838,831
Purple Disco Machine - Devil In Me (feat. Joe Killington & Duane Harden),268290,832
Aya Nakamura - Oumou Sangaré,267927,833
Julian Perretta - I Cry,265538,834
Jul - Comme un fou,262745,835
Ed Sheeran - Save Myself,262226,836
Sofiane - Bakhaw,261897,837
Ariana Grande - Santa Tell Me,260863,838
Vald - Acacia,259960,839
Vald - L.D.S,259464,840
Kendrick Lamar - BLOOD.,257895,841
"Ryan Gosling - A Lovely Night - From ""La La Land"" Soundtrack",256673,842
Alonzo - Dalé,253315,843
Julien Doré - Le lac,253015,844
Kaaris - RPG,250336,845
Djadja & Dinaz - Tu veux les billets,249258,846
Don Diablo - Cutting Shapes,249237,847
Aya Nakamura - Fuego (feat. Dadju),246251,848
Lomepal - Club,245486,849
Kalash Criminel - Piano sombre,243619,850
Niro - S3,243581,851
Petit Biscuit - Problems,241565,852
Jul - Parfum quartier,240323,853
Sofiane - Dis-moi où tu pécho,240162,854
"Alessia Cara - How Far I'll Go - From ""Moana""",239378,855
Bigflo & Oli - Papa,238255,856
Jul - Y'a plus de doute,236530,857
Kendrick Lamar - FEAR.,236437,858
"Ryan Gosling - City Of Stars - From ""La La Land"" Soundtrack/Pier",236329,859
Lord Huron - The Night We Met,235853,860
Sofiane - Dis-leur,235009,861
Sofiane - Parti de rien,234587,862
Sadek - Bender,234182,863
Ed Sheeran - Photograph,233373,864
Jul - Comment te dire,232776,865
Vald - Blanc,231403,866
"Earth, Wind & Fire - September",230963,867
Sadek - La rue c'est paro,229702,868
Moha La Squale - Bienvenue à La Banane,229600,869
SIYYU - Stop Us - Radio Edit,229149,870
Sadek - Les gants,229056,871
The Chainsmokers - The One,228296,872
Vald - Eurotrap,228203,873
Eminem - Bad Husband (feat. X Ambassadors),227141,874
Johnny Hallyday - Vivre pour le meilleur,226724,875
Moha La Squale - Rémi sans famille,225789,876
Hayce Lemsi - 6452,224330,877
Alonzo - La vraie vie,224304,878
Young Thug - pick up the phone,222922,879
Hayce Lemsi - Savastano,222864,880
Maître Gims - Sapés comme jamais - Pilule bleue,222300,881
The Drifters - White Christmas,221558,882
OutKast - Hey Ya! - Radio Mix / Club Mix,221297,883
Niro - Oxymore,220819,884
Jul - Je lève la moto,220813,885
France Gall - Il jouait du piano debout,220259,886
Johnny Hallyday - Mon plus beau Noël,218569,887
Moha La Squale - M'appelle pas mon frérot,218070,888
Kaaris - Courez,217839,889
Bigflo & Oli - Salope !,217666,890
Vald - Strip,216672,891
Johnny Hallyday - Marie - Master Mix,215329,892
Bruno Mars - Finesse (Remix) [feat. Cardi B],214658,893
Niro - Roulez,214492,894
"France Gall - Ella, elle l'a - Remasterisé",213026,895
Lana Del Rey - Love,212678,896
Sadek - Cartier panthère,210410,897
Hornet La Frappe - Misère,210230,898
Siboy - Au revoir merci,209277,899
Eminem - Chloraseptic (feat. Phresher),209104,900
Bigflo & Oli - La vie normale,208910,901
Gnarls Barkley - Crazy,207974,902
MMZ - Frero,207871,903
MMZ - Payday,206854,904
Mc Solaar - Sonotone,206188,905
MMZ - Off,205826,906
Hayce Lemsi - Electron libérable,205667,907
Johnny Hallyday - Noir c'est noir,205530,908
Jul - Samantha,205488,909
Vegedream - La fuite - Vegedream X Dj Leska / Edit MIx,204870,910
Sofiane - Cordelette,204224,911
France Gall - Résiste - Remasterisé,203370,912
Jul - Lacrizeotiek,203228,913
Alonzo - Ma famille,202662,914
Naps - Elvira,201082,915
Post Malone - Candy Paint,200986,916
Sadek - Sanz,200782,917
Bigflo & Oli - La vraie vie,200015,918
Kendrick Lamar - GOD.,199259,919
Moha La Squale - Pas comme eux,198969,920
Jul - La zone,198889,921
Johnny Hallyday - La musique que j'aime,197614,922
Drake - KMT,196755,923
Sofiane - Longue vie,196562,924
Lartiste - Vai et viens,196073,925
Ninho - Binks To Binks 4,195703,926
Nassi - La vie est belle,194787,927
Hugo TSR - Rei,194428,928
The Avener & Kim Churchill - You're My Window To The Sky,194076,929
Sofiane - Le bruit des blocks,193634,930
Jul - Je ne joue pas les thugs,193207,931
Sadek - Zahouania,192715,932
Sofiane - Bois d'argent,191363,933
Jul - Y'a pas de stress,190602,934
Sadek - Ça va aller,189333,935
Hamza - Godzilla,189107,936
Kendrick Lamar - DUCKWORTH.,188886,937
Tino Rossi - Petit Papa Noël,187449,938
Eddy de Pretto - Fête de trop - Single Version,187334,939
Vald - Petite chatte,186463,940
Deen Burbigo - Pas une autre,185692,941
Andy Williams - It's the Most Wonderful Time of the Year,185120,942
Kalash - Mwaka Story,184877,943
Drake - Skepta Interlude,184450,944
Nicky Jam - El Perdón,184147,945
Eminem - Tragic Endings (feat. Skylar Grey),183796,946
Gucci Mane - I Get The Bag (feat. Migos),183125,947
Johnny Hallyday - J'oublierai ton nom,182625,948
Johnny Hallyday - J'ai oublié de vivre,182382,949
Sadek - La tour (feat. Jok'air),182127,950
Zaho - Laissez-les kouma (feat. MHD),181805,951
Columbine - Rémi,181560,952
Sadek - Imma,179785,953
Moha La Squale - T'étais où?,179589,954
DTF - Le ciel est la limite,178410,955
Indochine - La vie est belle,177574,956
Hayce Lemsi - Haute sphère,177064,957
Sofiane - Mortal Kombat,176957,958
"Johnny Hallyday - Retiens la nuit - BOF ""Les Parisiennes""",176539,959
Linkin Park - Heavy (feat. Kiiara),174993,960
Sofiane - #JesuispasséchezSo EP 11,174907,961
Kalash Criminel - Shottas,173960,962
Bigflo & Oli - Répondez-moi,173814,963
Hamza - Pas de remords,173300,964
Macklemore & Ryan Lewis - Can't Hold Us - feat. Ray Dalton,173076,965
Indochine - L'Aventurier,172901,966
Niro - Abbé Pierre,172634,967
Eminem - Revival (Interlude),171171,968
MMZ - N'DA,171000,969
Jul - Quand on est pas là,170917,970
Jul - J'ai dit...,169637,971
Eminem - Nowhere Fast (feat. Kehlani),169418,972
Kalash Criminel - Hood,169044,973
Siboy - BQC,168303,974
Stefflon Don - Hurtin' Me,167699,975
Michael Bublé - Santa Claus Is Coming To Town,167458,976
"Jul - Je dis rien, je vois tout, j'entends",167324,977
"Hailee Steinfeld - Let Me Go (with Alesso, Florida Georgia Line & watt)",166851,978
Eminem - Framed,166604,979
Moha La Squale - Midi minuit,165696,980
Bigflo & Oli - Olivio,165411,981
OMI - Cheerleader - Felix Jaehn Remix Radio Edit,164471,982
Bigflo & Oli - Je suis,163985,983
Hayce Lemsi - Les pieds devant le D,162626,984
Jul - Mais qu'est-ce qu'on s'en bat les couilles !,162120,985
Niro - Blasé,161898,986
Hugo TSR - Là-haut,161712,987
Hayce Lemsi - C'est terminé,160506,988
Bigflo & Oli - Autre part,160505,989
Stupeflip - The Antidote,159451,990
21 Savage - Ghostface Killers,158900,991
France Gall - Evidemment - Remasterisé,158844,992
Lykke Li - I Follow Rivers - The Magician Remix,158596,993
Alonzo - Batard,157918,994
Niall Horan - Slow Hands,156916,995
Black M - Comme moi,156681,996
Damso - Débrouillard,155240,997
Naza - La débauche,154881,998
Guizmo - Pardon,154488,999
