,Artist_and_Track_Name,Lithuania_Streams,Position
177,Ed Sheeran - Shape of You,904314,1
242,Imagine Dragons - Thunder,439591,2
520,The Chainsmokers - Something Just Like This,422375,3
238,Imagine Dragons - Believer,403484,4
296,Kendrick Lamar - HUMBLE.,400471,5
311,Kygo - It Ain't Me (with Selena Gomez),391386,6
364,Luis Fonsi - Despacito - Remix,391058,7
205,French Montana - Unforgettable,376974,8
559,"ZAYN - I Donâ€™t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",369101,9
564,Zedd - Stay (with Alessia Cara),347835,10
